kode_provinsi ;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1504;Kab. Batanghari;150405;Pemayung;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;Kab. Batanghari;150405;Pemayung;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150810;Bathin II Babeko;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150810;Bathin II Babeko;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1508;Kab. Bungo;150810;Bathin II Babeko;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150810;Bathin II Babeko;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150810;Bathin II Babeko;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150810;Bathin II Babeko;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150815;Bathin II Pelayang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150815;Bathin II Pelayang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150815;Bathin II Pelayang;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150815;Bathin II Pelayang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;2
15;JAMBI;1508;Kab. Bungo;150815;Bathin II Pelayang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150815;Bathin II Pelayang;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150811;Bathin III;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150811;Bathin III;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150811;Bathin III;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150811;Bathin III;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150811;Bathin III;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150811;Bathin III;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150814;Bathin III Ulu;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150814;Bathin III Ulu;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1508;Kab. Bungo;150814;Bathin III Ulu;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150814;Bathin III Ulu;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1508;Kab. Bungo;150814;Bathin III Ulu;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150814;Bathin III Ulu;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
