id;kode_provinsi;nama_provinsi;kode_kabupaten;tenaga_teknis_kefarmasian;apoteker
1;15;JAMBI;1501;0;0
2;15;JAMBI;1502;35;18
3;15;JAMBI;1503;20;11
4;15;JAMBI;1504;19;14
5;15;JAMBI;1505;13;12
6;15;JAMBI;1507;8;8
7;15;JAMBI;1506;18;13
8;15;JAMBI;1509;5;17
9;15;JAMBI;1508;44;19
10;15;JAMBI;1571;238;94
11;15;JAMBI;1572;13;26
