id;kode_provinsi;nama_provinsi;Kode_Kabupaten_kota;skpd;Nama_Pengguna_Sewa_Kendaraan/Pemesan_Sewa_Kendaraan;Jenis_Kendaraan ;Nomor Kendaraan;Kegiatan;Tanggal_Berangkat;Tanggal_Pulang;Lama_Hari;satuan;tahun
1;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 1409 EA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS MUDIK GRATIS TAHUN 2024;04/04/2024;05/04/2024;2;UNIT;2024
2;15;JAMBI;1571;DINAS PERHUBUNGAN PROVINSI JAMBI;PT. SARI MUSTIKA JAYA;MBUS/BUS;H 1412 EA;BELANJA SEWA KENDARAAN BERMOTOR PENUMPANG-SEWA BUS MUDIK GRATIS TAHUN 2024;04/04/2024;05/04/2024;2;UNIT;2024
