id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
41;15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;BAIK;0,4;KILOMETER;2022
42;15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;BAIK;1,6;KILOMETER;2022
43;15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;BAIK;3,206;KILOMETER;2022
44;15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;BAIK;2,101;KILOMETER;2022
45;15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;BAIK;4,5;KILOMETER;2022
46;15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;BAIK;1,8;KILOMETER;2022
47;15;JAMBI;1571;JL. R. SIAGIAN;BAIK;2,818;KILOMETER;2022
48;15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;BAIK;2;KILOMETER;2022
49;15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;SEDANG;0,52;KILOMETER;2022
50;15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;SEDANG;4,4;KILOMETER;2022
51;15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;SEDANG;9,2;KILOMETER;2022
52;15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;SEDANG;8,641;KILOMETER;2022
53;15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;SEDANG;6,6;KILOMETER;2022
54;15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;SEDANG;4,6;KILOMETER;2022
55;15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;SEDANG;7,3;KILOMETER;2022
56;15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;SEDANG;6,2;KILOMETER;2022
57;15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;SEDANG;1,9;KILOMETER;2022
58;15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;SEDANG;6,2;KILOMETER;2022
59;15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;SEDANG;10,2;KILOMETER;2022
60;15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;SEDANG;3,6;KILOMETER;2022
61;15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;SEDANG;14;KILOMETER;2022
62;15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );SEDANG;21,709;KILOMETER;2022
63;15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);SEDANG;10,95;KILOMETER;2022
64;15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;SEDANG;8,122;KILOMETER;2022
65;15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);SEDANG;1;KILOMETER;2022
66;15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;SEDANG;5,8;KILOMETER;2022
67;15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;SEDANG;2,2;KILOMETER;2022
68;15;JAMBI;1501;JUJUN - LEMPUR;SEDANG;0,4;KILOMETER;2022
69;15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;SEDANG;0,2;KILOMETER;2022
70;15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);SEDANG;0;KILOMETER;2022
71;15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;SEDANG;0,6;KILOMETER;2022
72;15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;SEDANG;9,396;KILOMETER;2022
73;15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;SEDANG;8,2;KILOMETER;2022
74;15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;SEDANG;9,982;KILOMETER;2022
75;15;JAMBI;1502;DUSUN TUO - JANGKAT ;SEDANG;11,968;KILOMETER;2022
76;15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;SEDANG;12,6;KILOMETER;2022
77;15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;SEDANG;15,6;KILOMETER;2022
78;15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;SEDANG;30,7;KILOMETER;2022
79;15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;SEDANG;5,2;KILOMETER;2022
80;15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;SEDANG;1,038;KILOMETER;2022
81;15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;SEDANG;2,342;KILOMETER;2022
82;15;JAMBI;1571;JLN. DR. SUTOMO;SEDANG;0,367;KILOMETER;2022
83;15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;SEDANG;0,8;KILOMETER;2022
84;15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;SEDANG;2,123;KILOMETER;2022
85;15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;SEDANG;0,2;KILOMETER;2022
86;15;JAMBI;1571;JLN. HOS COKRO AMINOTO;SEDANG;0,048;KILOMETER;2022
87;15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;SEDANG;0,2;KILOMETER;2022
88;15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;SEDANG;2,25;KILOMETER;2022
89;15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;SEDANG;1,38;KILOMETER;2022
90;15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;SEDANG;1,821;KILOMETER;2022
91;15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;SEDANG;0,6;KILOMETER;2022
92;15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;SEDANG;0;KILOMETER;2022
93;15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;SEDANG;0,6;KILOMETER;2022
94;15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;SEDANG;0,7;KILOMETER;2022
95;15;JAMBI;1571;JL. R. SIAGIAN;SEDANG;0;KILOMETER;2022
96;15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;SEDANG;0,6;KILOMETER;2022
97;15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;RUSAK RINGAN;1,56;KILOMETER;2022
98;15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;RUSAK RINGAN;1,283;KILOMETER;2022
99;15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;RUSAK RINGAN;8,2;KILOMETER;2022
100;15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;RUSAK RINGAN;17,4;KILOMETER;2022
101;15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;RUSAK RINGAN;7,2;KILOMETER;2022
102;15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;RUSAK RINGAN;42,42;KILOMETER;2022
103;15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;RUSAK RINGAN;1;KILOMETER;2022
104;15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;RUSAK RINGAN;5,074;KILOMETER;2022
105;15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;RUSAK RINGAN;6,8;KILOMETER;2022
106;15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;RUSAK RINGAN;20,4;KILOMETER;2022
107;15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;RUSAK RINGAN;6,2;KILOMETER;2022
108;15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;RUSAK RINGAN;0,8;KILOMETER;2022
109;15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;RUSAK RINGAN;3;KILOMETER;2022
110;15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );RUSAK RINGAN;1,414;KILOMETER;2022
111;15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);RUSAK RINGAN;0,4;KILOMETER;2022
112;15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;RUSAK RINGAN;3;KILOMETER;2022
113;15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);RUSAK RINGAN;1,434;KILOMETER;2022
114;15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;RUSAK RINGAN;5,9;KILOMETER;2022
115;15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;RUSAK RINGAN;0;KILOMETER;2022
116;15;JAMBI;1501;JUJUN - LEMPUR;RUSAK RINGAN;0;KILOMETER;2022
117;15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;RUSAK RINGAN;0,2;KILOMETER;2022
118;15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);RUSAK RINGAN;0;KILOMETER;2022
119;15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;RUSAK RINGAN;0;KILOMETER;2022
120;15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;RUSAK RINGAN;0;KILOMETER;2022
121;15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;RUSAK RINGAN;4,6;KILOMETER;2022
122;15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;RUSAK RINGAN;5;KILOMETER;2022
123;15;JAMBI;1502;DUSUN TUO - JANGKAT ;RUSAK RINGAN;1,014;KILOMETER;2022
124;15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;RUSAK RINGAN;25,9;KILOMETER;2022
125;15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;RUSAK RINGAN;12,4;KILOMETER;2022
126;15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;RUSAK RINGAN;13,6;KILOMETER;2022
127;15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;RUSAK RINGAN;24,85;KILOMETER;2022
128;15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;RUSAK RINGAN;0;KILOMETER;2022
129;15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;RUSAK RINGAN;1;KILOMETER;2022
130;15;JAMBI;1571;JLN. DR. SUTOMO;RUSAK RINGAN;0,2;KILOMETER;2022
131;15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;RUSAK RINGAN;0;KILOMETER;2022
132;15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;RUSAK RINGAN;0;KILOMETER;2022
133;15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;RUSAK RINGAN;1,469;KILOMETER;2022
134;15;JAMBI;1571;JLN. HOS COKRO AMINOTO;RUSAK RINGAN;0;KILOMETER;2022
135;15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;RUSAK RINGAN;0;KILOMETER;2022
136;15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;RUSAK RINGAN;0;KILOMETER;2022
137;15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;RUSAK RINGAN;0;KILOMETER;2022
138;15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;RUSAK RINGAN;1,4;KILOMETER;2022
139;15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;RUSAK RINGAN;0;KILOMETER;2022
140;15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;RUSAK RINGAN;0;KILOMETER;2022
141;15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;RUSAK RINGAN;0;KILOMETER;2022
142;15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;RUSAK RINGAN;0;KILOMETER;2022
143;15;JAMBI;1571;JL. R. SIAGIAN;RUSAK RINGAN;0;KILOMETER;2022
144;15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;RUSAK RINGAN;0;KILOMETER;2022
145;15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;RUSAK BERAT;0,26;KILOMETER;2022
146;15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;RUSAK BERAT;0,4;KILOMETER;2022
147;15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;RUSAK BERAT;3,666;KILOMETER;2022
148;15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;RUSAK BERAT;4,4;KILOMETER;2022
149;15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;RUSAK BERAT;5;KILOMETER;2022
150;15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;RUSAK BERAT;3,4;KILOMETER;2022
151;15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;RUSAK BERAT;0;KILOMETER;2022
152;15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;RUSAK BERAT;0;KILOMETER;2022
153;15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;RUSAK BERAT;0;KILOMETER;2022
154;15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;RUSAK BERAT;0;KILOMETER;2022
155;15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;RUSAK BERAT;0;KILOMETER;2022
156;15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;RUSAK BERAT;0;KILOMETER;2022
157;15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;RUSAK BERAT;0;KILOMETER;2022
158;15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );RUSAK BERAT;0,202;KILOMETER;2022
159;15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);RUSAK BERAT;0;KILOMETER;2022
160;15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;RUSAK BERAT;0;KILOMETER;2022
161;15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);RUSAK BERAT;0;KILOMETER;2022
162;15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;RUSAK BERAT;0;KILOMETER;2022
163;15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;RUSAK BERAT;0;KILOMETER;2022
164;15;JAMBI;1501;JUJUN - LEMPUR;RUSAK BERAT;0;KILOMETER;2022
165;15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;RUSAK BERAT;0;KILOMETER;2022
166;15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);RUSAK BERAT;0;KILOMETER;2022
