id;kode_provinsi;nama_provinsi;tenaga_kesehatan;jumlah
1;15;JAMBI;TENAGA GIZI;67
2;15;JAMBI;TEKNIK BIOMEDIKA;53
3;15;JAMBI;TENAGA FARMASI;38
4;15;JAMBI;TENAGA MEDIS;34
5;15;JAMBI;TENAGA KESLING;26
6;15;JAMBI;TENAGA PERAWAT;25
7;15;JAMBI;TENAGA KESMAS;21
8;15;JAMBI;TENAGA BIDAN;16
9;15;JAMBI;KETEKNISIAN MEDIS;0
10;15;JAMBI;KETERAPIAN FISIK;0
