NO;kabupaten/kota;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;%_keluarga_berisiko_stunting
1;KERINCI;49.231;7.267;14,76
2;MERANGIN;76.070;13.152;17,29
3;SAROLANGUN;57.056;11.615;20,36
4;BATANGHARI;51.826;11.152;21,52
5;MUARO JAMBI;77.918;14.706;18,87
6;TANJUNG JABUNG BARAT;57.258;25.781;45,03
7;TANJUNG JABUNG TIMUR;43.752;15.734;35,96
8;BUNGO;67.485;13.835;20,5
9;TEBO;68.539;9.908;14,46
10;KOTA JAMBI;98.240;11.877;12,09
11;KOTA SUNGAI PENUH;16.965;2.068;12,19
12;PROVINSI JAMBI;664.340;137.095;20,64
