id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jumlah_puskesmas;jumlah_puskesmas_terpenuhi_9_jenis_tenaga;persentase
1;15;JAMBI;1501;21;10;47,62
2;15;JAMBI;1502;27;9;33,33
3;15;JAMBI;1503;16;7;43,75
4;15;JAMBI;1504;18;12;66,67
5;15;JAMBI;1505;22;7;31,82
6;15;JAMBI;1507;17;7;41,18
7;15;JAMBI;1506;16;6;37,5
8;15;JAMBI;1509;20;12;60
9;15;JAMBI;1508;19;10;52,63
10;15;JAMBI;1571;20;19;95
11;15;JAMBI;1572;11;5;45,45
