id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tenaga_kesehatan_masyrakat;tenaga_kesehatan_lingkungan
1;15;JAMBI;1501;0;38
2;15;JAMBI;1502;47;29
3;15;JAMBI;1503;5;22
4;15;JAMBI;1504;2;25
5;15;JAMBI;1505;4;28
6;15;JAMBI;1507;2;20
7;15;JAMBI;1506;13;26
8;15;JAMBI;1509;10;28
9;15;JAMBI;1508;8;27
10;15;JAMBI;1571;47;39
11;15;JAMBI;1572;14;25
