id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;pejabat_struktural;tenaga_pendidik;tenaga_dukungan_managemen
1;15;JAMBI;1501;0;0;0
2;15;JAMBI;1502;18;0;237
3;15;JAMBI;1503;14;0;265
4;15;JAMBI;1504;16;0;164
5;15;JAMBI;1505;19;0;184
6;15;JAMBI;1507;14;0;105
7;15;JAMBI;1506;16;0;189
8;15;JAMBI;1509;4;0;67
9;15;JAMBI;1508;16;0;296
10;15;JAMBI;1571;88;0;2058
11;15;JAMBI;1572;6;0;152
