id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produktivitas;satuan;tahun
;15;JAMBI;1502;KENCUR;1,97;KG/M²;2023
;15;JAMBI;1502;KUNYIT;1,68;KG/M²;2023
;15;JAMBI;1502;LAOS;1,83;KG/M²;2023
;15;JAMBI;1503;JAHE;1,39;KG/M²;2023
;15;JAMBI;1503;KENCUR;1,3;KG/M²;2023
;15;JAMBI;1503;KUNYIT;1,86;KG/M²;2023
;15;JAMBI;1503;LAOS;1,61;KG/M²;2023
;15;JAMBI;1504;JAHE;2,64;KG/M²;2023
;15;JAMBI;1504;KENCUR;0;KG/M²;2023
;15;JAMBI;1504;KUNYIT;2,87;KG/M²;2023
;15;JAMBI;1504;LAOS;4,93;KG/M²;2023
;15;JAMBI;1505;JAHE;0,72;KG/M²;2023
;15;JAMBI;1505;KENCUR;0,55;KG/M²;2023
;15;JAMBI;1505;KUNYIT;0,78;KG/M²;2023
;15;JAMBI;1505;LAOS;1,07;KG/M²;2023
;15;JAMBI;1506;JAHE;0,66;KG/M²;2023
;15;JAMBI;1506;KENCUR;12,13;KG/M²;2023
;15;JAMBI;1506;KUNYIT;6,71;KG/M²;2023
;15;JAMBI;1506;LAOS;2,28;KG/M²;2023
;15;JAMBI;1507;JAHE;3,5;KG/M²;2023
;15;JAMBI;1507;KENCUR;1,85;KG/M²;2023
;15;JAMBI;1507;KUNYIT;2,12;KG/M²;2023
;15;JAMBI;1507;LAOS;6,9;KG/M²;2023
;15;JAMBI;1508;JAHE;1,38;KG/M²;2023
;15;JAMBI;1508;KENCUR;1;KG/M²;2023
;15;JAMBI;1508;KUNYIT;1,59;KG/M²;2023
;15;JAMBI;1508;LAOS;1,71;KG/M²;2023
;15;JAMBI;1509;JAHE;1,09;KG/M²;2023
;15;JAMBI;1509;KENCUR;1,11;KG/M²;2023
;15;JAMBI;1509;KUNYIT;1,1;KG/M²;2023
;15;JAMBI;1509;LAOS;1,11;KG/M²;2023
;15;JAMBI;1571;JAHE;1,86;KG/M²;2023
;15;JAMBI;1571;KENCUR;2,29;KG/M²;2023
;15;JAMBI;1571;KUNYIT;0,96;KG/M²;2023
;15;JAMBI;1571;LAOS;0,59;KG/M²;2023
;15;JAMBI;1572;JAHE;4,51;KG/M²;2023
;15;JAMBI;1572;KENCUR;2,88;KG/M²;2023
;15;JAMBI;1572;KUNYIT;3,67;KG/M²;2023
;15;JAMBI;1572;LAOS;4,61;KG/M²;2023
;15;JAMBI;1501;JAHE;3,87;KG/M²;2024
;15;JAMBI;1501;KENCUR;3,02;KG/M²;2024
;15;JAMBI;1501;KUNYIT;2,14;KG/M²;2024
;15;JAMBI;1501;LAOS;2,69;KG/M²;2024
;15;JAMBI;1502;JAHE;2,07;KG/M²;2024
;15;JAMBI;1502;KENCUR;3,36;KG/M²;2024
;15;JAMBI;1502;KUNYIT;2,35;KG/M²;2024
;15;JAMBI;1502;LAOS;1,83;KG/M²;2024
;15;JAMBI;1503;JAHE;1,69;KG/M²;2024
;15;JAMBI;1503;KENCUR;1,36;KG/M²;2024
;15;JAMBI;1503;KUNYIT;1,80;KG/M²;2024
;15;JAMBI;1503;LAOS;1,71;KG/M²;2024
;15;JAMBI;1504;JAHE;20,33;KG/M²;2024
;15;JAMBI;1504;KENCUR;0,00;KG/M²;2024
;15;JAMBI;1504;KUNYIT;16,25;KG/M²;2024
;15;JAMBI;1504;LAOS;6,86;KG/M²;2024
;15;JAMBI;1505;JAHE;1,12;KG/M²;2024
;15;JAMBI;1505;KENCUR;0,94;KG/M²;2024
;15;JAMBI;1505;KUNYIT;1,40;KG/M²;2024
;15;JAMBI;1505;LAOS;1,27;KG/M²;2024
;15;JAMBI;1506;JAHE;10,25;KG/M²;2024
;15;JAMBI;1506;KENCUR;11,67;KG/M²;2024
;15;JAMBI;1506;KUNYIT;3,07;KG/M²;2024
;15;JAMBI;1506;LAOS;3,43;KG/M²;2024
;15;JAMBI;1507;JAHE;6,36;KG/M²;2024
;15;JAMBI;1507;KENCUR;2,09;KG/M²;2024
;15;JAMBI;1507;KUNYIT;3,10;KG/M²;2024
;15;JAMBI;1507;LAOS;8,43;KG/M²;2024
