id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1505;PADI;17978,18;TON;2023
;15;JAMBI;1505;JANGUNG;1323,86;TON;2023
;15;JAMBI;1505;KEDELAI;195,06;TON;2023
;15;JAMBI;1505;KACANG TANAH;38,89;TON;2023
;15;JAMBI;1505;KACANG HIJAU;0;TON;2023
;15;JAMBI;1505;UBI KAYU;2444,84;TON;2023
;15;JAMBI;1505;UBI JALAR;466,61;TON;2023
;15;JAMBI;1506;PADI;22904,39;TON;2023
;15;JAMBI;1506;JANGUNG;1751,57;TON;2023
;15;JAMBI;1506;KEDELAI;326,15;TON;2023
;15;JAMBI;1506;KACANG TANAH;38,76;TON;2023
;15;JAMBI;1506;KACANG HIJAU;0;TON;2023
;15;JAMBI;1506;UBI KAYU;1606,37;TON;2023
;15;JAMBI;1506;UBI JALAR;572,7;TON;2023
;15;JAMBI;1507;PADI;24065,32;TON;2023
;15;JAMBI;1507;JANGUNG;542,38;TON;2023
;15;JAMBI;1507;KEDELAI;144,9;TON;2023
;15;JAMBI;1507;KACANG TANAH;25,28;TON;2023
;15;JAMBI;1507;KACANG HIJAU;0;TON;2023
;15;JAMBI;1507;UBI KAYU;4355,08;TON;2023
;15;JAMBI;1507;UBI JALAR;195,52;TON;2023
;15;JAMBI;1508;PADI;19602,74;TON;2023
;15;JAMBI;1508;JANGUNG;6111,92;TON;2023
;15;JAMBI;1508;KEDELAI;2399,95;TON;2023
;15;JAMBI;1508;KACANG TANAH;82,76;TON;2023
;15;JAMBI;1508;KACANG HIJAU;1,7;TON;2023
;15;JAMBI;1508;UBI KAYU;4504,39;TON;2023
;15;JAMBI;1508;UBI JALAR;641,74;TON;2023
;15;JAMBI;1509;PADI;22228,19;TON;2023
;15;JAMBI;1509;JANGUNG;4411,94;TON;2023
;15;JAMBI;1509;KEDELAI;770,19;TON;2023
;15;JAMBI;1509;KACANG TANAH;103,28;TON;2023
;15;JAMBI;1509;KACANG HIJAU;12;TON;2023
;15;JAMBI;1509;UBI KAYU;3546;TON;2023
;15;JAMBI;1509;UBI JALAR;744,61;TON;2023
;15;JAMBI;1571;PADI;1344,63;TON;2023
;15;JAMBI;1571;JANGUNG;321,26;TON;2023
;15;JAMBI;1571;KEDELAI;0;TON;2023
;15;JAMBI;1571;KACANG TANAH;41,64;TON;2023
;15;JAMBI;1571;KACANG HIJAU;1;TON;2023
;15;JAMBI;1571;UBI KAYU;2020,57;TON;2023
;15;JAMBI;1571;UBI JALAR;336,08;TON;2023
;15;JAMBI;1572;PADI;28866,11;TON;2023
;15;JAMBI;1572;JANGUNG;205,08;TON;2023
;15;JAMBI;1572;KEDELAI;0;TON;2023
;15;JAMBI;1572;KACANG TANAH;6,49;TON;2023
;15;JAMBI;1572;KACANG HIJAU;0;TON;2023
;15;JAMBI;1572;UBI KAYU;1577,94;TON;2023
;15;JAMBI;1572;UBI JALAR;1252,33;TON;2023
;15;JAMBI;1501;PADI;86790,6;TON;2024
;15;JAMBI;1501;JAGUNG;3164,57;TON;2024
;15;JAMBI;1501;KEDELAI;60,37;TON;2024
;15;JAMBI;1501;KACANG HIJAU;4;TON;2024
;15;JAMBI;1501;KACANG TANAH;657,34;TON;2024
;15;JAMBI;1501;UBI KAYU;10228,53;TON;2024
;15;JAMBI;1501;UBI JALAR;17787,99;TON;2024
;15;JAMBI;1502;PADI;21115,54;TON;2024
;15;JAMBI;1502;JAGUNG;2051,68;TON;2024
;15;JAMBI;1502;KEDELAI;133,33;TON;2024
;15;JAMBI;1502;KACANG HIJAU;38,7;TON;2024
;15;JAMBI;1502;KACANG TANAH;198,76;TON;2024
;15;JAMBI;1502;UBI KAYU;10594,63;TON;2024
;15;JAMBI;1502;UBI JALAR;5339,50;TON;2024
;15;JAMBI;1503;PADI;14110,66;TON;2024
;15;JAMBI;1503;JAGUNG;153,18;TON;2024
;15;JAMBI;1503;KEDELAI;5,91;TON;2024
;15;JAMBI;1503;KACANG HIJAU;0,2;TON;2024
;15;JAMBI;1503;KACANG TANAH;53,23;TON;2024
;15;JAMBI;1503;UBI KAYU;3911,01;TON;2024
;15;JAMBI;1503;UBI JALAR;254,51;TON;2024
;15;JAMBI;1504;PADI;19185,53;TON;2024
;15;JAMBI;1504;JAGUNG;241,96;TON;2024
;15;JAMBI;1504;KEDELAI;3,67;TON;2024
;15;JAMBI;1504;KACANG HIJAU;1;TON;2024
;15;JAMBI;1504;KACANG TANAH;56,08;TON;2024
;15;JAMBI;1504;UBI KAYU;3349,31;TON;2024
;15;JAMBI;1504;UBI JALAR;660,77;TON;2024
;15;JAMBI;1505;PADI;19475;TON;2024
;15;JAMBI;1505;JAGUNG;521,01;TON;2024
;15;JAMBI;1505;KEDELAI;3,19;TON;2024
;15;JAMBI;1505;KACANG HIJAU;0;TON;2024
;15;JAMBI;1505;KACANG TANAH;21,03;TON;2024
;15;JAMBI;1505;UBI KAYU;2497,71;TON;2024
;15;JAMBI;1505;UBI JALAR;457,82;TON;2024
;15;JAMBI;1506;PADI;26838,08;TON;2024
;15;JAMBI;1506;JAGUNG;2706,36;TON;2024
;15;JAMBI;1506;KEDELAI;82,73;TON;2024
;15;JAMBI;1506;KACANG HIJAU;6;TON;2024
;15;JAMBI;1506;KACANG TANAH;32,05;TON;2024
;15;JAMBI;1506;UBI KAYU;1572,47;TON;2024
;15;JAMBI;1506;UBI JALAR;581,50;TON;2024
;15;JAMBI;1507;PADI;27832,14;TON;2024
;15;JAMBI;1507;JAGUNG;996,95;TON;2024
;15;JAMBI;1507;KEDELAI;3,38;TON;2024
;15;JAMBI;1507;KACANG HIJAU;0;TON;2024
;15;JAMBI;1507;KACANG TANAH;24,34;TON;2024
;15;JAMBI;1507;UBI KAYU;5057,55;TON;2024
;15;JAMBI;1507;UBI JALAR;714,78;TON;2024
;15;JAMBI;1508;PADI;16406,4;TON;2024
;15;JAMBI;1508;JAGUNG;1781,01;TON;2024
;15;JAMBI;1508;KEDELAI;508,95;TON;2024
;15;JAMBI;1508;KACANG HIJAU;1,9;TON;2024
;15;JAMBI;1508;KACANG TANAH;78,11;TON;2024
;15;JAMBI;1508;UBI KAYU;5272,54;TON;2024
;15;JAMBI;1508;UBI JALAR;693,95;TON;2024
;15;JAMBI;1509;PADI;15865,33;TON;2024
;15;JAMBI;1509;JAGUNG;1657,33;TON;2024
;15;JAMBI;1509;KEDELAI;64,16;TON;2024
;15;JAMBI;1509;KACANG HIJAU;11;TON;2024
;15;JAMBI;1509;KACANG TANAH;70,84;TON;2024
;15;JAMBI;1509;UBI KAYU;2717,56;TON;2024
;15;JAMBI;1509;UBI JALAR;525,27;TON;2024
;15;JAMBI;1571;PADI;1425,28;TON;2024
;15;JAMBI;1571;JAGUNG;71,44;TON;2024
;15;JAMBI;1571;KEDELAI;0,00;TON;2024
;15;JAMBI;1571;KACANG HIJAU;0,1;TON;2024
;15;JAMBI;1571;KACANG TANAH;12,49;TON;2024
;15;JAMBI;1571;UBI KAYU;1442,42;TON;2024
;15;JAMBI;1571;UBI JALAR;99,77;TON;2024
;15;JAMBI;1572;PADI;31977,49;TON;2024
;15;JAMBI;1572;JAGUNG;248,14;TON;2024
;15;JAMBI;1572;KEDELAI;0,00;TON;2024
;15;JAMBI;1572;KACANG HIJAU;0;TON;2024
;15;JAMBI;1572;KACANG TANAH;0,00;TON;2024
;15;JAMBI;1572;UBI KAYU;2397,43;TON;2024
;15;JAMBI;1572;UBI JALAR;1361,57;TON;2024
