NO;kode_provinsi;nama_provinsi;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;satuan;tahun
1;15;JAMBI;TEBU / Sugar Cane;200;1692;0;HEKTAR;2022
2;15;JAMBI;TEMBAKAU / Tobacco;208;311;0;HEKTAR;2022
3;15;JAMBI;NILAM / Patchouli;396;909;47;HEKTAR;2022
4;15;JAMBI;TEBU / Sugar Cane;179;1763;0;HEKTAR;2023
5;15;JAMBI;TEMBAKAU / Tobacco;78;284;0;HEKTAR;2023
6;15;JAMBI;NILAM / Patchouli;415;782;0;HEKTAR;2023
