id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
1;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- 
2;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- 
3;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- 
4;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- 
5;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENGUNGSI;JIWA;0; Rp- 
6;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- 
7;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- 
8;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- 
9;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- 
10;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- 
11;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- 
12;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- 
13;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;PERKANTORAN;UNIT;0; Rp- 
14;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;BANGUNAN LAIN;UNIT;0; Rp- 
15;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JEMBATAN;UNIT;0; Rp- 
16;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JALAN;KM;0; Rp- 
17;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SAWAH;HA;0; Rp- 
18;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KEBUN;HEKTAR;0; Rp- 
19;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KOLAM;HA;0; Rp- 
20;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;IRIGASI;HA;0; Rp- 
21;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- 
22;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- 
23;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- 
24;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- 
25;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENGUNGSI;JIWA;3; Rp- 
26;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- 
27;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;1; Rp- 
28;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- 
29;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;RUMAH TERENDAM;UNIT;0; Rp- 
30;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- 
31;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- 
32;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0; Rp- 
33;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;PERKANTORAN;UNIT;0; Rp- 
34;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;BANGUNAN LAIN;UNIT;0; Rp- 
35;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JEMBATAN;UNIT;0; Rp- 
36;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;JALAN;KM;0; Rp- 
37;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;SAWAH;HA;0; Rp- 
38;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KEBUN;HEKTAR;0; Rp- 
39;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;KOLAM;HA;0; Rp- 
40;15;JAMBI;1504;150401;23/01/2024;KERUSAKAN;IRIGASI;HA;0; Rp- 
41;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENINGGAL DUNIA;JIWA;0; Rp- 
42;15;JAMBI;1504;150401;23/01/2024;KORBAN;HILANG;JIWA;0; Rp- 
43;15;JAMBI;1504;150401;23/01/2024;KORBAN;LUKA;JIWA;0; Rp- 
44;15;JAMBI;1504;150401;23/01/2024;KORBAN;MENDERITA;JIWA;0; Rp- 
