no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;tahun;"jumlah
"
88;15;JAMBI;1507;WISATA MANCANEGARA;2019;5
89;15;JAMBI;1501;WISATA MANCANEGARA;2020;138
90;15;JAMBI;1572;WISATA MANCANEGARA;2020;0
91;15;JAMBI;1502;WISATA MANCANEGARA;2020;0
92;15;JAMBI;1503;WISATA MANCANEGARA;2020;0
93;15;JAMBI;1508;WISATA MANCANEGARA;2020;0
94;15;JAMBI;1509;WISATA MANCANEGARA;2020;0
95;15;JAMBI;1504;WISATA MANCANEGARA;2020;0
96;15;JAMBI;1505;WISATA MANCANEGARA;2020;0
97;15;JAMBI;1571;WISATA MANCANEGARA;2020;1.765
98;15;JAMBI;1506;WISATA MANCANEGARA;2020;0
99;15;JAMBI;1507;WISATA MANCANEGARA;2020;0
100;15;JAMBI;1501;WISATA MANCANEGARA;2021;0
101;15;JAMBI;1572;WISATA MANCANEGARA;2021;0
102;15;JAMBI;1502;WISATA MANCANEGARA;2021;0
103;15;JAMBI;1503;WISATA MANCANEGARA;2021;0
104;15;JAMBI;1508;WISATA MANCANEGARA;2021;0
105;15;JAMBI;1509;WISATA MANCANEGARA;2021;0
106;15;JAMBI;1504;WISATA MANCANEGARA;2021;0
107;15;JAMBI;1505;WISATA MANCANEGARA;2021;0
108;15;JAMBI;1571;WISATA MANCANEGARA;2021;2.135
109;15;JAMBI;1506;WISATA MANCANEGARA;2021;0
110;15;JAMBI;1507;WISATA MANCANEGARA;2021;0
111;15;JAMBI;1501;WISATA MANCANEGARA;2022;209
112;15;JAMBI;1572;WISATA MANCANEGARA;2022;1
113;15;JAMBI;1502;WISATA MANCANEGARA;2022;0
114;15;JAMBI;1503;WISATA MANCANEGARA;2022;0
115;15;JAMBI;1508;WISATA MANCANEGARA;2022;0
116;15;JAMBI;1509;WISATA MANCANEGARA;2022;9
117;15;JAMBI;1504;WISATA MANCANEGARA;2022;0
118;15;JAMBI;1505;WISATA MANCANEGARA;2022;0
119;15;JAMBI;1571;WISATA MANCANEGARA;2022;3.434
120;15;JAMBI;1506;WISATA MANCANEGARA;2022;0
121;15;JAMBI;1507;WISATA MANCANEGARA;2022;0
