NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1501;KERINCI;24.674;3.602;3.473;3.673;3.006;10.884;36
;15;JAMBI;1502;MERANGIN;42.496;7.673;10.766;6.879;5.127;12.043;8
;15;JAMBI;1503;SAROLANGUN;29.851;4.846;5.474;4.443;4.278;10.788;22
;15;JAMBI;1504;BATANGHARI;27.745;4.542;5.549;5.398;3.671;8.524;61
;15;JAMBI;1505;MUARO JAMBI;40.511;3.262;6.927;5.392;6.234;18.601;95
;15;JAMBI;1506;TANJUNG JABUNG BARAT;38.295;6.200;7.456;7.040;6.297;10.986;316
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;30.433;5.224;3.895;4.514;4.953;11.823;24
;15;JAMBI;1508;BUNGO;33.263;4.279;4.865;5.637;4.811;13.628;43
;15;JAMBI;1509;TEBO;34.068;4.071;7.047;4.650;4.162;14.108;30
;15;JAMBI;1571;KOTA JAMBI;39.444;5.916;4.854;4.899;4.532;19.150;93
;15;JAMBI;1572;KOTA SUNGAI PENUH;7.920;470;698;1.073;1.289;4.370;20
