NO ;kode_provinsi;nama_provinsi;kode_kabupate_kota;mandiri;maju;berkembang;tertinggal;sangat_tertinggal
1;15;JAMBI;1501;25;109;143;8;0
2;15;JAMBI;1502;39;97;66;3;0
3;15;JAMBI;1503;21;38;75;15;0
4;15;JAMBI;1504;61;43;6;0;0
5;15;JAMBI;1505;37;51;62;0;0
6;15;JAMBI;1506;7;31;76;0;0
7;15;JAMBI;1507;4;18;40;11;0
8;15;JAMBI;1508;18;47;74;2;0
9;15;JAMBI;1509;11;50;61;0;0
10;15;JAMBI;1572;64;1;0;0;0
