id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;persentase
1;15;JAMBI;1503;131,31
2;15;JAMBI;1509;114,69
3;15;JAMBI;1507;109,23
4;15;JAMBI;1502;106,06
5;15;JAMBI;1504;99,81
6;15;JAMBI;1506;93,96
7;15;JAMBI;1505;92,97
8;15;JAMBI;1501;86,8
9;15;JAMBI;1571;82,04
10;15;JAMBI;1508;81,28
11;15;JAMBI;1572;76,05
