NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produksi;satuan;tahun
1;15;JAMBI;1502;MERANGIN;KOPI ARABICA;11;TON;2022
2;15;JAMBI;1501;KERINCI;KOPI ARABICA;906;TON;2022
3;15;JAMBI;1572;SUNGAI PENUH;KOPI ARABICA;102;TON;2022
4;15;JAMBI;1502;MERANGIN;KOPI ARABICA;11;TON;2023
5;15;JAMBI;1501;KERINCI;KOPI ARABICA;1038;TON;2023
6;15;JAMBI;1572;SUNGAI PENUH;KOPI ARABICA;124;TON;2023
;;;;;;;;
