id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1501;TEBU;1569;KEPALA KELUARGA;2022
;15;JAMBI;1501;TEMBAKAU;370;KEPALA KELUARGA;2022
;15;JAMBI;1501;NILAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1502;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1502;TEMBAKAU;3;KEPALA KELUARGA;2022
;15;JAMBI;1502;NILAM;2601;KEPALA KELUARGA;2022
;15;JAMBI;1503;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1503;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1503;NILAM;160;KEPALA KELUARGA;2022
;15;JAMBI;1504;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1504;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1504;NILAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1505;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1505;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1505;NILAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;NILAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1507;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1507;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1507;NILAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1508;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1508;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1508;NILAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1509;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1509;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1509;NILAM;57;KEPALA KELUARGA;2022
;15;JAMBI;1571;TEBU;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;TEMBAKAU;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;NILAM;0;KEPALA KELUARGA;2022
