NO ;KODE KABUPATEN/KOTA;KODE KECAMATAN;KODE DESA;NILAI IDM;STATUS IDM
1;1501;150102;1501022002;0,7219;MAJU
2;1501;150102;1501022003;0,7383;MAJU
3;1501;150104;1501042029;0,7587;MAJU
4;1501;150104;1501042030;0,7683;MAJU
5;1501;150105;1501052002;0,7597;MAJU
6;1501;150105;1501052012;0,7278;MAJU
7;1501;150105;1501052022;0,7594;MAJU
8;1501;150105;1501052024;0,7087;MAJU
9;1501;150105;1501052035;0,7625;MAJU
10;1501;150105;1501052036;0,7587;MAJU
11;1501;150105;1501052038;0,7124;MAJU
12;1501;150105;1501052039;0,733;MAJU
13;1501;150106;1501062018;0,7844;MAJU
14;1501;150106;1501062043;0,7297;MAJU
15;1501;150108;1501082001;0,7792;MAJU
16;1501;150108;1501082003;0,739;MAJU
17;1501;150108;1501082004;0,7106;MAJU
18;1501;150108;1501082007;0,7543;MAJU
19;1501;150108;1501082008;0,7417;MAJU
20;1501;150108;1501082012;0,7097;MAJU
21;1501;150108;1501082013;0,7384;MAJU
22;1501;150108;1501082018;0,7556;MAJU
23;1501;150108;1501082022;0,7821;MAJU
24;1501;150108;1501082023;0,7214;MAJU
25;1501;150108;1501082025;0,7841;MAJU
26;1501;150108;1501082026;0,7384;MAJU
27;1501;150108;1501082027;0,753;MAJU
28;1501;150108;1501082028;0,7565;MAJU
29;1501;150109;1501092010;0,7538;MAJU
30;1501;150109;1501092013;0,7929;MAJU
31;1501;150109;1501092015;0,7444;MAJU
32;1501;150109;1501092016;0,8024;MAJU
33;1501;150109;1501092024;0,7329;MAJU
34;1501;150109;1501092048;0,739;MAJU
35;1501;150111;1501112001;0,7073;MAJU
36;1501;150111;1501112002;0,7671;MAJU
37;1501;150111;1501112003;0,7559;MAJU
38;1501;150111;1501112007;0,7792;MAJU
39;1501;150111;1501112008;0,7816;MAJU
40;1501;150111;1501112018;0,7125;MAJU
41;1501;150111;1501112022;0,8044;MAJU
42;1501;150115;1501152001;0,7462;MAJU
43;1501;150115;1501152003;0,7692;MAJU
44;1501;150115;1501152006;0,7633;MAJU
45;1501;150115;1501152007;0,7243;MAJU
46;1501;150115;1501152008;0,716;MAJU
47;1501;150115;1501152011;0,7332;MAJU
48;1501;150115;1501152012;0,7257;MAJU
49;1501;150116;1501162001;0,7076;MAJU
50;1501;150116;1501162005;0,7365;MAJU
51;1501;150116;1501162007;0,7651;MAJU
52;1501;150116;1501162009;0,7283;MAJU
53;1501;150116;1501162013;0,774;MAJU
54;1501;150116;1501162014;0,7144;MAJU
55;1501;150116;1501162015;0,7368;MAJU
56;1501;150116;1501162016;0,7121;MAJU
57;1501;150116;1501162028;0,7698;MAJU
58;1501;150116;1501162030;0,7135;MAJU
59;1501;150116;1501162034;0,7129;MAJU
60;1501;150116;1501162039;0,7717;MAJU
61;1501;150116;1501162040;0,7441;MAJU
62;1501;150117;1501172001;0,7511;MAJU
63;1501;150117;1501172003;0,7214;MAJU
64;1501;150117;1501172004;0,72;MAJU
65;1501;150117;1501172005;0,7181;MAJU
66;1501;150117;1501172006;0,7584;MAJU
67;1501;150117;1501172008;0,7162;MAJU
68;1501;150117;1501172009;0,7668;MAJU
69;1501;150117;1501172010;0,7625;MAJU
70;1501;150117;1501172013;0,7533;MAJU
71;1501;150117;1501172019;0,7162;MAJU
72;1501;150117;1501172020;0,7603;MAJU
73;1501;150118;1501182003;0,7165;MAJU
74;1501;150119;1501192001;0,7644;MAJU
75;1501;150119;1501192002;0,8151;MAJU
76;1501;150119;1501192004;0,7317;MAJU
77;1501;150119;1501192008;0,7995;MAJU
78;1501;150119;1501192009;0,713;MAJU
79;1501;150119;1501192010;0,7222;MAJU
80;1501;150119;1501192013;0,806;MAJU
81;1501;150119;1501192015;0,7597;MAJU
82;1501;150119;1501192016;0,7946;MAJU
83;1501;150119;1501192017;0,7087;MAJU
84;1501;150120;1501202001;0,7229;MAJU
85;1501;150120;1501202002;0,7335;MAJU
86;1501;150120;1501202003;0,7873;MAJU
87;1501;150120;1501202004;0,7432;MAJU
88;1501;150121;1501212003;0,7252;MAJU
89;1501;150121;1501212004;0,793;MAJU
90;1501;150121;1501212006;0,7549;MAJU
91;1501;150121;1501212012;0,7295;MAJU
92;1501;150122;1501222005;0,7381;MAJU
93;1501;150122;1501222006;0,7616;MAJU
94;1501;150122;1501222007;0,7497;MAJU
95;1501;150122;1501222008;0,7538;MAJU
96;1501;150122;1501222010;0,7327;MAJU
97;1501;150122;1501222011;0,7146;MAJU
98;1501;150123;1501232001;0,7086;MAJU
99;1501;150123;1501232002;0,7108;MAJU
100;1501;150123;1501232003;0,7148;MAJU
101;1501;150123;1501232004;0,7086;MAJU
102;1501;150123;1501232005;0,7113;MAJU
103;1501;150123;1501232006;0,7132;MAJU
104;1501;150123;1501232007;0,7224;MAJU
105;1501;150123;1501232008;0,733;MAJU
106;1501;150123;1501232009;0,7186;MAJU
107;1501;150123;1501232011;0,7198;MAJU
108;1501;150123;1501232012;0,7559;MAJU
109;1501;150123;1501232014;0,7744;MAJU
110;1502;150201;1502012004;0,7324;MAJU
111;1502;150201;1502012005;0,7629;MAJU
112;1502;150201;1502012008;0,7503;MAJU
113;1502;150201;1502012009;0,7178;MAJU
114;1502;150202;1502022004;0,7287;MAJU
115;1502;150202;1502022012;0,7559;MAJU
116;1502;150203;1502032009;0,7075;MAJU
117;1502;150203;1502032010;0,769;MAJU
118;1502;150203;1502032012;0,7111;MAJU
119;1502;150203;1502032024;0,7652;MAJU
120;1502;150204;1502042008;0,7851;MAJU
121;1502;150204;1502042009;0,7127;MAJU
122;1502;150204;1502042010;0,7171;MAJU
123;1502;150204;1502042011;0,7259;MAJU
124;1502;150204;1502042015;0,7557;MAJU
125;1502;150204;1502042016;0,7392;MAJU
126;1502;150204;1502042025;0,7349;MAJU
127;1502;150204;1502042026;0,7225;MAJU
128;1502;150205;1502052007;0,716;MAJU
129;1502;150205;1502052008;0,7478;MAJU
130;1502;150205;1502052011;0,7363;MAJU
131;1502;150205;1502052014;0,7441;MAJU
132;1502;150205;1502052015;0,7421;MAJU
133;1502;150205;1502052035;0,716;MAJU
134;1502;150206;1502062005;0,741;MAJU
135;1502;150206;1502062006;0,7386;MAJU
136;1502;150206;1502062009;0,7217;MAJU
137;1502;150206;1502062013;0,7265;MAJU
138;1502;150206;1502062015;0,7919;MAJU
139;1502;150207;1502072009;0,7086;MAJU
140;1502;150207;1502072010;0,7203;MAJU
141;1502;150207;1502072011;0,7092;MAJU
142;1502;150207;1502072014;0,7086;MAJU
143;1502;150208;1502082001;0,7095;MAJU
144;1502;150208;1502082004;0,764;MAJU
145;1502;150208;1502082006;0,7446;MAJU
146;1502;150209;1502092003;0,7121;MAJU
147;1502;150209;1502092006;0,7602;MAJU
148;1502;150209;1502092010;0,7103;MAJU
149;1502;150209;1502092011;0,7149;MAJU
150;1502;150210;1502102002;0,7076;MAJU
151;1502;150210;1502102003;0,7481;MAJU
152;1502;150210;1502102006;0,7868;MAJU
153;1502;150211;1502112006;0,7462;MAJU
154;1502;150212;1502122001;0,8065;MAJU
155;1502;150212;1502122005;0,7879;MAJU
156;1502;150212;1502122006;0,7359;MAJU
157;1502;150212;1502122007;0,767;MAJU
158;1502;150212;1502122008;0,8067;MAJU
159;1502;150212;1502122009;0,7171;MAJU
160;1502;150213;1502132002;0,7611;MAJU
161;1502;150213;1502132003;0,7243;MAJU
162;1502;150213;1502132005;0,7711;MAJU
163;1502;150213;1502132007;0,7149;MAJU
164;1502;150214;1502142001;0,7711;MAJU
165;1502;150214;1502142002;0,7233;MAJU
166;1502;150214;1502142003;0,7078;MAJU
167;1502;150215;1502152001;0,7238;MAJU
168;1502;150215;1502152003;0,7576;MAJU
169;1502;150215;1502152004;0,7241;MAJU
170;1502;150216;1502162001;0,8146;MAJU
171;1502;150216;1502162002;0,7681;MAJU
172;1502;150216;1502162003;0,7125;MAJU
173;1502;150216;1502162004;0,7086;MAJU
174;1502;150216;1502162005;0,7851;MAJU
175;1502;150216;1502162007;0,7438;MAJU
176;1502;150216;1502162008;0,779;MAJU
177;1502;150216;1502162009;0,7768;MAJU
178;1502;150216;1502162010;0,7352;MAJU
179;1502;150216;1502162011;0,7652;MAJU
180;1502;150216;1502162012;0,733;MAJU
181;1502;150217;1502172001;0,7137;MAJU
182;1502;150217;1502172002;0,7951;MAJU
183;1502;150217;1502172003;0,751;MAJU
184;1502;150217;1502172004;0,8151;MAJU
185;1502;150217;1502172005;0,7635;MAJU
186;1502;150217;1502172006;0,8132;MAJU
187;1502;150217;1502172007;0,7662;MAJU
188;1502;150217;1502172008;0,7717;MAJU
