id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;nama_komoditi;nama_kelompok;keterangan
1;15;JAMBI;1505;MUARO JAMBI;1505021;SUNGAI GELAM;BALL BOND CLAY;BAHAN KERAMIK;
2;15;JAMBI;1502;MERANGIN;1502060;TABIR;BATU GAMPING;MINERAL INDUSTRI;CUKUP BAIK
3;15;JAMBI;1503;SAROLANGUN;1503020;LIMUN;BATU GAMPING;MINERAL INDUSTRI;
4;15;JAMBI;1503;SAROLANGUN;1503020;LIMUN;BATU GAMPING;MINERAL INDUSTRI;TERDAPAT URAT URAT KALSIT
5;15;JAMBI;1502;MERANGIN;1502040;BANGKO;BATU GAMPING;MINERAL INDUSTRI;SEBARAN 10 HEKTAR
6;15;JAMBI;1502;MERANGIN;1502040;BANGKO;BATU GAMPING;MINERAL INDUSTRI;CUKUP BAIK
7;15;JAMBI;1502;MERANGIN;1502060;TABIR;BATU GAMPING;MINERAL INDUSTRI;BERWARNA KUNING ABU-ABU DAN KUNING KEHIJAUAN
8;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20 = 0,99%
9;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20 = 0,94%
10;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20 = 0,89%
11;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20 = 1,14%
12;15;JAMBI;1508;BUNGO;1509030;RANTAU PANDAN;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20 = 0,89 - 3,56 %
13;15;JAMBI;1508;BUNGO;1509030;RANTAU PANDAN;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20  BELUM DIKETAHUI
14;15;JAMBI;1508;BUNGO;1509030;RANTAU PANDAN;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20  BELUM DIKETAHUI
15;15;JAMBI;1508;BUNGO;1509050;TANAH TUMBUH;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20  BELUM DIKETAHUI
16;15;JAMBI;1508;BUNGO;1509050;TANAH TUMBUH;FELSPARD;BAHAN KERAMIK;BERUPA SABASTONE, KANDUNGAN  K2O DAN NA20 BELUM DIKETAHUI
17;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;GRANIT;BAHAN BANGUNAN;BERWARNA ABU - ABU TUA
18;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;GRANIT;BAHAN BANGUNAN;MUTU CUKUP BAIK
19;15;JAMBI;1508;BUNGO;1509050;TANAH TUMBUH;GRANIT;BAHAN BANGUNAN;BERBINTIK PUTIH MENGANDUNG MIKA
20;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;GRANIT;BAHAN BANGUNAN;BATUAN BERSTRUKTUR HIPIDIOMORFIK
21;15;JAMBI;1501;KERINCI;1501040;DANAU KERINCI;KAOLIN;BAHAN KERAMIK;CUKUP BAIK
22;15;JAMBI;1571;KOTA JAMBI;1571020;JAMBI SELATAN;LEMPUNG;BAHAN KERAMIK;
23;15;JAMBI;1509;TEBO;1508020;TEBO TENGAH;LEMPUNG;BAHAN KERAMIK;BERWARNA KECOKLATAN SAMPAI KEMERAHAN PLASTISITASNYA  CUKUP BAIK
24;15;JAMBI;1502;MERANGIN;1502060;TABIR;LEMPUNG;BAHAN KERAMIK;BERWARNA KECOKLATAN SAMPAI KEMERAHAN PLASTISITASNYA  CUKUP BAIK
25;15;JAMBI;1571;KOTA JAMBI;1571050;TELANAIPURA;LEMPUNG;BAHAN KERAMIK;
26;15;JAMBI;1508;BUNGO;1509024;MUARO BUNGO;LEMPUNG;BAHAN KERAMIK;KANDUNGAN SI02 -60,09 % 
27;15;JAMBI;1508;BUNGO;1509030;RANTAU PANDAN;LEMPUNG;BAHAN KERAMIK;KANDUNGAN SIO2 -42.84-46.17%
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
