id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ; tahun ;;
1;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;meninggal;JIWA;0; Rp20.000.000 ;2025;;
2;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;HILANG;JIWA;0; Rp20.000.000 ;2025;;
3;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;LUKA;JIWA;0; Rp20.000.000 ;2025;;
4;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;MENDERITA;JIWA;0; Rp20.000.000 ;2025;;
5;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;MENGUNGSI;JIWA;0; Rp20.000.000 ;2025;;
6;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;RUMAH RUSAK BERAT;UNIT;0; Rp20.000.000 ;2025;;
7;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;RUMAH RUSAK SEDANG;UNIT;0; Rp20.000.000 ;2025;;
8;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;RUMAH RUSAK RINGAN;UNIT;0; Rp20.000.000 ;2025;;
9;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;RUMAH TERENDAM;UNIT;0; Rp20.000.000 ;2025;;
10;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;SARANA PENDIDIKAN;UNIT;0; Rp20.000.000 ;2025;;
11;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;SARANA IBADAH;UNIT;0; Rp20.000.000 ;2025;;
12;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;SARANA KESEHATAN;UNIT;0; Rp20.000.000 ;2025;;
13;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;PERKANTORAN;UNIT;0; Rp20.000.000 ;2025;;
14;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;BANGUNAN LAIN;UNIT;0; Rp20.000.000 ;2025;;
15;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;JEMBATAN;UNIT;0; Rp20.000.000 ;2025;;
16;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;JALAN;KM;0; Rp20.000.000 ;2025;;
17;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;SAWAH;HA;0; Rp20.000.000 ;2025;;
18;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;KEBUN/HUTAN;HA;45748; Rp20.000.000 ;2025;;
19;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;KOLAM;HA;0; Rp20.000.000 ;2025;;
20;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;04/01/2025;IRIGASI;HA;0; Rp20.000.000 ;2025;;
21;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;jiwa;JIWA;0; Rp10.000.000 ;2025;;
22;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;HILANG;JIWA;0; Rp10.000.000 ;2025;;
23;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;LUKA;JIWA;0; Rp10.000.000 ;2025;;
24;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;MENDERITA;JIWA;0; Rp10.000.000 ;2025;;
25;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;MENGUNGSI;JIWA;0; Rp10.000.000 ;2025;;
26;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;RUMAH RUSAK BERAT;UNIT;0; Rp10.000.000 ;2025;;
27;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;RUMAH RUSAK SEDANG;UNIT;0; Rp10.000.000 ;2025;;
28;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;RUMAH RUSAK RINGAN;UNIT;0; Rp10.000.000 ;2025;;
29;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;RUMAH TERENDAM;UNIT;0; Rp10.000.000 ;2025;;
30;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;SARANA PENDIDIKAN;UNIT;0; Rp10.000.000 ;2025;;
31;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;SARANA IBADAH;UNIT;0; Rp10.000.000 ;2025;;
32;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;SARANA KESEHATAN;UNIT;0; Rp10.000.000 ;2025;;
33;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;PERKANTORAN;UNIT;0; Rp10.000.000 ;2025;;
34;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;BANGUNAN LAIN;UNIT;0; Rp10.000.000 ;2025;;
35;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;12/01/2025;JEMBATAN;UNIT;0; Rp10.000.000 ;2025;;
36;15;JAMBI;1501;MERANGIN;150210;BANGKO BARAT;12/01/2025;JALAN;KM;0; Rp10.000.000 ;2025;;
