no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;Day of tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
11;15;JAMBI;1571;KOTA JAMBI;TAUFIK MULYA AGUNG;0601230035761;01/06/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Swadaya Raya
12;15;JAMBI;1502;MERANGIN;KETAWANG JAYA;0601230042792;01/06/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Tanah Abang
13;15;JAMBI;1501;KERINCI;ANDALAS MANDIRI BERKARYA;0601230043837;01/06/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Pondok Beringin
14;15;JAMBI;1571;KOTA JAMBI;SUMATERA SINERGI PERSADA;0701230003246;01/07/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Bangau Ii, Nomor 07 
15;15;JAMBI;1571;KOTA JAMBI;NADIRA SAFIRA ABADI;0701230006894;01/07/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Sinar Fajar
16;15;JAMBI;1504;BATANGHARI;RATUTAMA SEJAHTERA;0701230011978;01/07/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Jendral Sudirman, Kelurahan Rengas Condong
17;15;JAMBI;1571;KOTA JAMBI;FRENTO MINERALINDO;0901230039476;01/09/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Dara Petak Nomor : 125
18;15;JAMBI;1571;KOTA JAMBI;ARMAGAN;0901230056802;01/09/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Poros Bougenvile Lr. Sejahtera Perum Simp. Rimbo 
19;15;JAMBI;1504;BATANGHARI;YOLANDA LIMA UTAMA;0901230065104;01/09/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Kotoboyo
20;15;JAMBI;1572;KOTA SUNGAI PENUH;CAHAYA FAJAR MANDIRI;1001230034479;01/10/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Sandaran Galeh, Kecamatan Kumun Debai, Kota Sungai Penuh, Provinsi Jambi
21;15;JAMBI;1507;TANJUNG JABUNG TIMUR;TAUSINCOCO;1101230000416;01/11/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Marga Mulya
22;15;JAMBI;1501;KERINCI;HALO JARINGAN PRIORITAS;1101230000877;01/11/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Koto Majidin Diair, Koto Majidin Mudik, Kecamatan Air Hangat
23;15;JAMBI;1571;KOTA JAMBI;BABATAN EMPAT LAWANG;1101230046689;01/11/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl.Darma Karya 2, No.25
24;15;JAMBI;1505;MUARO JAMBI;ZIYAN JAYA MAKMUR;1101230053145;01/11/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Belimbing Sumber Agung
25;15;JAMBI;1505;MUARO JAMBI;MUHI BERSAUDARA;1201230017497;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Valencia Blok. No 37
26;15;JAMBI;1571;KOTA JAMBI;MAHARANI MUTIARA MANDIRI;1201230019488;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Pattimura Ir. Abdurrahman 2 No. 139
27;15;JAMBI;1571;KOTA JAMBI;MULTI KONTRUKSI INDONESIA;1201230067842;01/12/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Mayjen Soetoyo Nomor 32A 
