id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
1;15;JAMBI;1572;157208;20/01/2022;MANUSIA;MENINGGAL DUNIA;JIWA;0; Rp- 
2;15;JAMBI;1572;157208;20/01/2022;MANUSIA;LUKA BERAT;JIWA;0; Rp- 
3;15;JAMBI;1572;157208;20/01/2022;MANUSIA;LUKA RINGAN;JIWA;0; Rp- 
4;15;JAMBI;1572;157208;20/01/2022;RUMAH;RUSAK TOTAL;UNIT;0; Rp- 
5;15;JAMBI;1572;157208;20/01/2022;RUMAH;RUMAH RUSAK BERAT;UNIT;0; Rp- 
6;15;JAMBI;1572;157208;20/01/2022;RUMAH;RUMAH RUSAK RINGAN;UNIT;0; Rp- 
7;15;JAMBI;1572;157208;20/01/2022;RUMAH;TERGENANG;UNIT;0; Rp- 
8;15;JAMBI;1572;157208;20/01/2022;RUMAH;TERENDAM;UNIT;0; Rp- 
9;15;JAMBI;1572;157208;20/01/2022;RUMAH;KIOS;UNIT;0; Rp- 
10;15;JAMBI;1572;157208;20/01/2022;RUMAH;BANGUNAN LAIN;UNIT;0; Rp- 
11;15;JAMBI;1572;157208;20/01/2022;MENDERITA DAN MENGUNGSI;KEPALA KELUARGA;JIWA;0; Rp- 
12;15;JAMBI;1572;157208;20/01/2022;MENDERITA DAN MENGUNGSI;JIWA;JIWA;0; Rp- 
13;15;JAMBI;1572;157208;20/01/2022;FASILITAS SOSIAL;SEKOLAH;UNIT;0; Rp- 
14;15;JAMBI;1572;157208;20/01/2022;FASILITAS SOSIAL;KANTOR;UNIT;0; Rp- 
15;15;JAMBI;1572;157208;20/01/2022;FASILITAS SOSIAL;TEMPAT IBADAH;JIWA;0; Rp- 
16;15;JAMBI;1572;157208;20/01/2022;FASILITAS SOSIAL;SARANA KESEHATAN;UNIT;0; Rp- 
17;15;JAMBI;1572;157208;20/01/2022;FASILITAS UMUM;PASAR;UNIT;0; Rp- 
18;15;JAMBI;1572;157208;20/01/2022;FASILITAS UMUM;JEMBATAN;UNIT;0; Rp- 
