id;kode_provinsi;nama_provinsi;jenis_kekerasan_dan_status_perkara_kelayen;kekerasan_dan_status_perkara;kekerasan_pada_anak;jumlah;tahun
55;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;ANAK;111;2023
56;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;PEREMPUAN;36;2023
57;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;ANAK;0;2023
58;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;PEREMPUAN;2;2023
59;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;ANAK;153;2023
60;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;PEREMPUAN;86;2023
61;15;JAMBI;JENIS KEKERASAN;FISIK;ANAK;17;2024
62;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;23;2024
63;15;JAMBI;JENIS KEKERASAN;PSIKIS;ANAK;91;2024
64;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;52;2024
65;15;JAMBI;JENIS KEKERASAN;SEKSUAL;ANAK;72;2024
66;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;18;2024
67;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;ANAK;0;2024
68;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;4;2024
69;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;ANAK;72;2024
70;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;PEREMPUAN;25;2024
71;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;ANAK;0;2024
72;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;0;2024
73;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;ANAK;0;2024
74;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2024
75;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;ANAK;72;2024
76;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;PEREMPUAN;25;2024
77;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;ANAK;2;2024
78;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;PEREMPUAN;3;2024
79;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;ANAK;97;2024
80;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;PEREMPUAN;64;2024
81;15;JAMBI;JENIS KEKERASAN;FISIK;ANAK;13;2025
82;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;26;2025
83;15;JAMBI;JENIS KEKERASAN;PSIKIS;ANAK;66;2025
84;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;67;2025
85;15;JAMBI;JENIS KEKERASAN;SEKSUAL;ANAK;47;2025
86;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;21;2025
87;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;ANAK;3;2025
88;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;10;2025
89;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;ANAK;44;2025
90;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;PEREMPUAN;30;2025
91;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;ANAK;0;2025
92;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;1;2025
93;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;ANAK;0;2025
94;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2025
95;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;ANAK;44;2025
96;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;PEREMPUAN;30;2025
97;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;ANAK;1;2025
98;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;PEREMPUAN;4;2025
99;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;ANAK;75;2025
100;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;PEREMPUAN;75;2025
