NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
38;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;17;ORANG;2023
39;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;12;ORANG;2023
40;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2023
41;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2023
42;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;18;ORANG;2024
43;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2024
44;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2024
45;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2024
46;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;13;ORANG;2024
47;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;12;ORANG;2024
48;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;10;ORANG;2024
49;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2024
50;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;44;ORANG;2021
51;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;52;ORANG;2021
52;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;53;ORANG;2021
53;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2021
54;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;48;ORANG;2021
55;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;60;ORANG;2021
56;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;42;ORANG;2021
57;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2021
58;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;46;ORANG;2021
59;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;102;ORANG;2021
60;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;47;ORANG;2021
61;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;73;ORANG;2022
62;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;54;ORANG;2022
63;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;53;ORANG;2022
64;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2022
65;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;49;ORANG;2022
66;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;76;ORANG;2022
67;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;42;ORANG;2022
68;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;57;ORANG;2022
69;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;66;ORANG;2022
70;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;102;ORANG;2022
71;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;49;ORANG;2022
72;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;15;ORANG;2023
73;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;5;ORANG;2023
74;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;53;ORANG;2023
75;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2023
76;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2023
77;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;77;ORANG;2023
78;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;60;ORANG;2023
79;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;65;ORANG;2023
80;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;40;ORANG;2023
81;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2023
82;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;59;ORANG;2024
83;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2024
84;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;83;ORANG;2024
85;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2024
86;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;77;ORANG;2024
87;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;65;ORANG;2024
88;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;50;ORANG;2024
89;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;51;ORANG;2024
90;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;62;ORANG;2021
91;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;84;ORANG;2021
