no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tenaga_kesehatan;jumlah
176;15;JAMBI;1572;MIKROBIOLOGI KESEHATAN;0
177;15;JAMBI;1501;NUTRISIONIS;45
178;15;JAMBI;1502;NUTRISIONIS;56
179;15;JAMBI;1503;NUTRISIONIS;38
180;15;JAMBI;1504;NUTRISIONIS;45
181;15;JAMBI;1505;NUTRISIONIS;39
182;15;JAMBI;1507;NUTRISIONIS;29
183;15;JAMBI;1506;NUTRISIONIS;40
184;15;JAMBI;1509;NUTRISIONIS;36
185;15;JAMBI;1508;NUTRISIONIS;44
186;15;JAMBI;1571;NUTRISIONIS;80
187;15;JAMBI;1572;NUTRISIONIS;41
188;15;JAMBI;1501;DIETISIEN;0
189;15;JAMBI;1502;DIETISIEN;0
190;15;JAMBI;1503;DIETISIEN;0
191;15;JAMBI;1504;DIETISIEN;0
192;15;JAMBI;1505;DIETISIEN;1
193;15;JAMBI;1507;DIETISIEN;0
194;15;JAMBI;1506;DIETISIEN;0
195;15;JAMBI;1509;DIETISIEN;0
196;15;JAMBI;1508;DIETISIEN;0
197;15;JAMBI;1571;DIETISIEN;1
198;15;JAMBI;1572;DIETISIEN;2
199;15;JAMBI;1501;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
200;15;JAMBI;1502;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
201;15;JAMBI;1503;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
202;15;JAMBI;1504;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
203;15;JAMBI;1505;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
204;15;JAMBI;1507;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
205;15;JAMBI;1506;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
206;15;JAMBI;1509;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
207;15;JAMBI;1508;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
208;15;JAMBI;1571;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
209;15;JAMBI;1572;TENAGA KERJA KESEHATAN TRADISIONAL RAMUAN;0
210;15;JAMBI;1501;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
211;15;JAMBI;1502;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
212;15;JAMBI;1503;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
213;15;JAMBI;1504;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
214;15;JAMBI;1505;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
215;15;JAMBI;1507;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
216;15;JAMBI;1506;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
217;15;JAMBI;1509;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
218;15;JAMBI;1508;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
219;15;JAMBI;1571;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
220;15;JAMBI;1572;TENAGA KERJA TRADISIONAL KETRAMPILAN;0
