no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;tenaga_kesehatan;jumlah
1;15;JAMBI;1501;DOKTER;53
2;15;JAMBI;1502;DOKTER;105
3;15;JAMBI;1503;DOKTER;89
4;15;JAMBI;1504;DOKTER;74
5;15;JAMBI;1505;DOKTER;104
6;15;JAMBI;1507;DOKTER;63
7;15;JAMBI;1506;DOKTER;106
8;15;JAMBI;1509;DOKTER;62
9;15;JAMBI;1508;DOKTER;92
10;15;JAMBI;1571;DOKTER;466
11;15;JAMBI;1572;DOKTER;50
12;15;JAMBI;1501;DOKTER GIGI;10
13;15;JAMBI;1502;DOKTER GIGI;23
14;15;JAMBI;1503;DOKTER GIGI;20
15;15;JAMBI;1504;DOKTER GIGI;27
16;15;JAMBI;1505;DOKTER GIGI;29
17;15;JAMBI;1507;DOKTER GIGI;10
18;15;JAMBI;1506;DOKTER GIGI;16
19;15;JAMBI;1509;DOKTER GIGI;21
20;15;JAMBI;1508;DOKTER GIGI;26
21;15;JAMBI;1571;DOKTER GIGI;74
22;15;JAMBI;1572;DOKTER GIGI;14
23;15;JAMBI;1501;DOKTER SPESIALIS;9
24;15;JAMBI;1502;DOKTER SPESIALIS;22
25;15;JAMBI;1503;DOKTER SPESIALIS;21
26;15;JAMBI;1504;DOKTER SPESIALIS;18
27;15;JAMBI;1505;DOKTER SPESIALIS;21
28;15;JAMBI;1507;DOKTER SPESIALIS;11
29;15;JAMBI;1506;DOKTER SPESIALIS;9
30;15;JAMBI;1509;DOKTER SPESIALIS;15
31;15;JAMBI;1508;DOKTER SPESIALIS;29
32;15;JAMBI;1571;DOKTER SPESIALIS;228
33;15;JAMBI;1572;DOKTER SPESIALIS;14
34;15;JAMBI;1501;BIDAN;479
35;15;JAMBI;1502;BIDAN;1151
36;15;JAMBI;1503;BIDAN;600
37;15;JAMBI;1504;BIDAN;497
38;15;JAMBI;1505;BIDAN;692
39;15;JAMBI;1507;BIDAN;463
40;15;JAMBI;1506;BIDAN;614
41;15;JAMBI;1509;BIDAN;621
42;15;JAMBI;1508;BIDAN;726
43;15;JAMBI;1571;BIDAN;863
44;15;JAMBI;1572;BIDAN;256
45;15;JAMBI;1501;PERAWAT;446
46;15;JAMBI;1502;PERAWAT;791
47;15;JAMBI;1503;PERAWAT;497
48;15;JAMBI;1504;PERAWAT;562
49;15;JAMBI;1505;PERAWAT;496
50;15;JAMBI;1507;PERAWAT;352
51;15;JAMBI;1506;PERAWAT;501
52;15;JAMBI;1509;PERAWAT;470
53;15;JAMBI;1508;PERAWAT;808
54;15;JAMBI;1571;PERAWAT;2548
55;15;JAMBI;1572;PERAWAT;620
56;15;JAMBI;1501;APOTEKER;30
57;15;JAMBI;1502;APOTEKER;47
58;15;JAMBI;1503;APOTEKER;28
59;15;JAMBI;1504;APOTEKER;31
60;15;JAMBI;1505;APOTEKER;33
61;15;JAMBI;1507;APOTEKER;18
62;15;JAMBI;1506;APOTEKER;47
63;15;JAMBI;1509;APOTEKER;40
64;15;JAMBI;1508;APOTEKER;56
65;15;JAMBI;1571;APOTEKER;187
66;15;JAMBI;1572;APOTEKER;44
67;15;JAMBI;1501;TEKNIS KEFARMASIAN;48
68;15;JAMBI;1502;TEKNIS KEFARMASIAN;83
69;15;JAMBI;1503;TEKNIS KEFARMASIAN;48
70;15;JAMBI;1504;TEKNIS KEFARMASIAN;41
71;15;JAMBI;1505;TEKNIS KEFARMASIAN;35
72;15;JAMBI;1507;TEKNIS KEFARMASIAN;33
73;15;JAMBI;1506;TEKNIS KEFARMASIAN;59
74;15;JAMBI;1509;TEKNIS KEFARMASIAN;36
75;15;JAMBI;1508;TEKNIS KEFARMASIAN;67
76;15;JAMBI;1571;TEKNIS KEFARMASIAN;410
77;15;JAMBI;1572;TEKNIS KEFARMASIAN;30
78;15;JAMBI;1501;PSIKOLOGI KLINIS;0
79;15;JAMBI;1502;PSIKOLOGI KLINIS;1
80;15;JAMBI;1503;PSIKOLOGI KLINIS;1
81;15;JAMBI;1504;PSIKOLOGI KLINIS;1
82;15;JAMBI;1505;PSIKOLOGI KLINIS;0
83;15;JAMBI;1507;PSIKOLOGI KLINIS;0
84;15;JAMBI;1506;PSIKOLOGI KLINIS;0
85;15;JAMBI;1509;PSIKOLOGI KLINIS;0
86;15;JAMBI;1508;PSIKOLOGI KLINIS;0
87;15;JAMBI;1571;PSIKOLOGI KLINIS;9
88;15;JAMBI;1572;PSIKOLOGI KLINIS;0
89;15;JAMBI;1501;EPIDEMIOLOG KESEHATAN;8
90;15;JAMBI;1502;EPIDEMIOLOG KESEHATAN;9
91;15;JAMBI;1503;EPIDEMIOLOG KESEHATAN;4
92;15;JAMBI;1504;EPIDEMIOLOG KESEHATAN;3
93;15;JAMBI;1505;EPIDEMIOLOG KESEHATAN;2
94;15;JAMBI;1507;EPIDEMIOLOG KESEHATAN;0
95;15;JAMBI;1506;EPIDEMIOLOG KESEHATAN;3
96;15;JAMBI;1509;EPIDEMIOLOG KESEHATAN;7
97;15;JAMBI;1508;EPIDEMIOLOG KESEHATAN;3
98;15;JAMBI;1571;EPIDEMIOLOG KESEHATAN;27
99;15;JAMBI;1572;EPIDEMIOLOG KESEHATAN;1
100;15;JAMBI;1501;PROMOSI KESEHATAN DAN ILMU PRILAKU;28
101;15;JAMBI;1502;PROMOSI KESEHATAN DAN ILMU PRILAKU;19
102;15;JAMBI;1503;PROMOSI KESEHATAN DAN ILMU PRILAKU;3
103;15;JAMBI;1504;PROMOSI KESEHATAN DAN ILMU PRILAKU;21
104;15;JAMBI;1505;PROMOSI KESEHATAN DAN ILMU PRILAKU;13
105;15;JAMBI;1507;PROMOSI KESEHATAN DAN ILMU PRILAKU;17
106;15;JAMBI;1506;PROMOSI KESEHATAN DAN ILMU PRILAKU;10
107;15;JAMBI;1509;PROMOSI KESEHATAN DAN ILMU PRILAKU;14
108;15;JAMBI;1508;PROMOSI KESEHATAN DAN ILMU PRILAKU;12
109;15;JAMBI;1571;PROMOSI KESEHATAN DAN ILMU PRILAKU;57
110;15;JAMBI;1572;PROMOSI KESEHATAN DAN ILMU PRILAKU;14
111;15;JAMBI;1501;PEMBIMBING KESEHATAN KERJA;0
112;15;JAMBI;1502;PEMBIMBING KESEHATAN KERJA;10
113;15;JAMBI;1503;PEMBIMBING KESEHATAN KERJA;2
114;15;JAMBI;1504;PEMBIMBING KESEHATAN KERJA;3
115;15;JAMBI;1505;PEMBIMBING KESEHATAN KERJA;0
116;15;JAMBI;1507;PEMBIMBING KESEHATAN KERJA;0
117;15;JAMBI;1506;PEMBIMBING KESEHATAN KERJA;0
118;15;JAMBI;1509;PEMBIMBING KESEHATAN KERJA;2
119;15;JAMBI;1508;PEMBIMBING KESEHATAN KERJA;3
120;15;JAMBI;1571;PEMBIMBING KESEHATAN KERJA;5
121;15;JAMBI;1572;PEMBIMBING KESEHATAN KERJA;3
122;15;JAMBI;1501;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;8
123;15;JAMBI;1502;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;32
124;15;JAMBI;1503;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;7
125;15;JAMBI;1504;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;6
126;15;JAMBI;1505;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;1
127;15;JAMBI;1507;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;13
128;15;JAMBI;1506;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;2
129;15;JAMBI;1509;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;4
130;15;JAMBI;1508;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;2
131;15;JAMBI;1571;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;37
132;15;JAMBI;1572;ADMINISTRASI DAN KEBIJAKAN KESEHATAN;3
133;15;JAMBI;1501;KESEHATAN REPRODUKSI DAN KELUARGA;0
134;15;JAMBI;1502;KESEHATAN REPRODUKSI DAN KELUARGA;4
135;15;JAMBI;1503;KESEHATAN REPRODUKSI DAN KELUARGA;1
136;15;JAMBI;1504;KESEHATAN REPRODUKSI DAN KELUARGA;0
137;15;JAMBI;1505;KESEHATAN REPRODUKSI DAN KELUARGA;0
138;15;JAMBI;1507;KESEHATAN REPRODUKSI DAN KELUARGA;0
139;15;JAMBI;1506;KESEHATAN REPRODUKSI DAN KELUARGA;0
140;15;JAMBI;1509;KESEHATAN REPRODUKSI DAN KELUARGA;0
141;15;JAMBI;1508;KESEHATAN REPRODUKSI DAN KELUARGA;2
142;15;JAMBI;1571;KESEHATAN REPRODUKSI DAN KELUARGA;0
143;15;JAMBI;1572;KESEHATAN REPRODUKSI DAN KELUARGA;0
144;15;JAMBI;1501;SANITASI LINGKUNGAN;41
145;15;JAMBI;1502;SANITASI LINGKUNGAN;46
146;15;JAMBI;1503;SANITASI LINGKUNGAN;33
147;15;JAMBI;1504;SANITASI LINGKUNGAN;29
148;15;JAMBI;1505;SANITASI LINGKUNGAN;38
149;15;JAMBI;1507;SANITASI LINGKUNGAN;24
150;15;JAMBI;1506;SANITASI LINGKUNGAN;36
151;15;JAMBI;1509;SANITASI LINGKUNGAN;33
152;15;JAMBI;1508;SANITASI LINGKUNGAN;45
153;15;JAMBI;1571;SANITASI LINGKUNGAN;101
154;15;JAMBI;1572;SANITASI LINGKUNGAN;39
155;15;JAMBI;1501;ENTOMOLOG KESEHATAN;0
156;15;JAMBI;1502;ENTOMOLOG KESEHATAN;0
157;15;JAMBI;1503;ENTOMOLOG KESEHATAN;0
158;15;JAMBI;1504;ENTOMOLOG KESEHATAN;0
159;15;JAMBI;1505;ENTOMOLOG KESEHATAN;0
160;15;JAMBI;1507;ENTOMOLOG KESEHATAN;0
161;15;JAMBI;1506;ENTOMOLOG KESEHATAN;0
162;15;JAMBI;1509;ENTOMOLOG KESEHATAN;0
163;15;JAMBI;1508;ENTOMOLOG KESEHATAN;0
164;15;JAMBI;1571;ENTOMOLOG KESEHATAN;8
165;15;JAMBI;1572;ENTOMOLOG KESEHATAN;0
166;15;JAMBI;1501;MIKROBIOLOGI KESEHATAN;0
167;15;JAMBI;1502;MIKROBIOLOGI KESEHATAN;0
168;15;JAMBI;1503;MIKROBIOLOGI KESEHATAN;0
169;15;JAMBI;1504;MIKROBIOLOGI KESEHATAN;0
170;15;JAMBI;1505;MIKROBIOLOGI KESEHATAN;1
171;15;JAMBI;1507;MIKROBIOLOGI KESEHATAN;0
172;15;JAMBI;1506;MIKROBIOLOGI KESEHATAN;0
173;15;JAMBI;1509;MIKROBIOLOGI KESEHATAN;0
174;15;JAMBI;1508;MIKROBIOLOGI KESEHATAN;0
175;15;JAMBI;1571;MIKROBIOLOGI KESEHATAN;0
