NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_laporan;jenis_penanganan;jumlah_perempuan_korban_yang_terlayani;jumlah;total_capaian
90;15;JAMBI;1509;FISIK;PSIKOLOG;2;2;100
91;15;JAMBI;1509;FISIK;VISUM;2;2;100
92;15;JAMBI;1509;FISIK;RUMAH AMAN;2;2;100
93;15;JAMBI;1509;PSIKIS;BANTUAN HUKUM;2;2;100
94;15;JAMBI;1509;PSIKIS;PSIKOLOG;2;2;100
95;15;JAMBI;1509;PSIKIS;VISUM;2;2;100
96;15;JAMBI;1509;PSIKIS;RUMAH AMAN;2;2;100
97;15;JAMBI;1508;SEKSUAL;BANTUAN HUKUM;2;2;100
98;15;JAMBI;1508;SEKSUAL;PSIKOLOG;2;2;100
99;15;JAMBI;1508;SEKSUAL;VISUM;2;2;100
100;15;JAMBI;1508;SEKSUAL;RUMAH AMAN;2;2;100
101;15;JAMBI;1508;FISIK;BANTUAN HUKUM;2;2;100
102;15;JAMBI;1508;FISIK;PSIKOLOG;2;2;100
103;15;JAMBI;1508;FISIK;VISUM;2;2;100
104;15;JAMBI;1508;FISIK;RUMAH AMAN;2;2;100
105;15;JAMBI;1508;PSIKIS;BANTUAN HUKUM;2;2;100
106;15;JAMBI;1508;PSIKIS;PSIKOLOG;2;2;100
107;15;JAMBI;1508;PSIKIS;VISUM;2;2;100
108;15;JAMBI;1508;PSIKIS;RUMAH AMAN;2;2;100
109;15;JAMBI;1571;SEKSUAL;BANTUAN HUKUM;35;35;100
110;15;JAMBI;1571;SEKSUAL;PSIKOLOG;35;35;100
111;15;JAMBI;1571;SEKSUAL;VISUM;35;35;100
112;15;JAMBI;1571;SEKSUAL;RUMAH AMAN;35;35;100
113;15;JAMBI;1571;FISIK;BANTUAN HUKUM;35;35;100
114;15;JAMBI;1571;FISIK;PSIKOLOG;35;35;100
115;15;JAMBI;1571;FISIK;VISUM;35;35;100
116;15;JAMBI;1571;FISIK;RUMAH AMAN;35;35;100
117;15;JAMBI;1571;PSIKIS;BANTUAN HUKUM;35;35;100
118;15;JAMBI;1571;PSIKIS;PSIKOLOG;35;35;100
119;15;JAMBI;1571;PSIKIS;VISUM;35;35;100
