NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
1;15;JAMBI;1508;CASSIAVERA;138;KEPALA KELUARGA;2022
2;15;JAMBI;1502;CASSIAVERA;2326;KEPALA KELUARGA;2022
3;15;JAMBI;1503;CASSIAVERA;424;KEPALA KELUARGA;2022
4;15;JAMBI;1501;CASSIAVERA;13030;KEPALA KELUARGA;2022
5;15;JAMBI;1572;CASSIAVERA;377;KEPALA KELUARGA;2022
6;15;JAMBI;1508;CASSIAVERA;137;KEPALA KELUARGA;2023
7;15;JAMBI;1502;CASSIAVERA;2403;KEPALA KELUARGA;2023
8;15;JAMBI;1503;CASSIAVERA;441;KEPALA KELUARGA;2023
9;15;JAMBI;1501;CASSIAVERA;12944;KEPALA KELUARGA;2023
10;15;JAMBI;1572;CASSIAVERA;377;KEPALA KELUARGA;2023
