id;kode_provinsi;nama_provinsi;pendidikan;laki-laki;perempuan;jumlah
1;15;JAMBI;S.3;19;11;30
2;15;JAMBI;S.2;722;644;1.366
3;15;JAMBI;S.1;2889;3816;6.705
4;15;JAMBI;D.IV;76;109;185
5;15;JAMBI;D.III;179;460;639
6;15;JAMBI;D.II;14;7;21
7;15;JAMBI;D.I;7;6;13
8;15;JAMBI;SLTA;580;298;878
9;15;JAMBI;SLTA KEJURUAN;55;39;94
10;15;JAMBI;SLTP;19;6;25
11;15;JAMBI;SLTP KEJURUAN;1;0;1
12;15;JAMBI;SD;14;8;22
