no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_perusahaan;alamat;jenis;fasilitas
1;15;JAMBI;1572;Selatour;Jl. Sriwijaya Kota Sungai Penuh;Tour & Travel;1,3,4,5
2;15;JAMBI;1572;CV. PO. Duta Kerinci;Jl. Angkasa Pura - Hiang Kerinci Kec. Sitinjau Laut;Usaha Transportasi;1,3,5
3;15;JAMBI;1572;CV. PO. Surya Kerinci;Jl. Pancasila Kec. Tanah Kampung;Usaha Transportasi;1,3,5
4;15;JAMBI;1572;CV. Bungo Kincai;Jl. Pancasila Kec. Tanah Kampung;Usaha Transportasi;1,3,5
5;15;JAMBI;1572;CV. PO. Penawar Rindu;Jl. Pancasila Komplek Arafah Centre;Usaha Transportasi;1,3,5
6;15;JAMBI;1572;Aqobah;Jl. Sriwijaya No. 86 Kota Sungai Penuh;Tour & Travel;1,3,4,5
7;15;JAMBI;1572;CV. PO. Sinar Gunung;Jl. Sriwijaya Kota Sungai Penuh;Usaha Transportasi;1,3,5
8;15;JAMBI;1572;PT. Arifa Travelindo Utama;Jl. Yos Sudarso Kota Sungai Penuh;Tour & Travel;1,3,4,5
9;15;JAMBI;1572;CV. PO. Delta Kerinci Indah;Jl. Depati Parbo RT. 6 No. 1;Usaha Transportasi;1,3,5
10;15;JAMBI;1572;CV. PO. Gunung Kerinci;Jl. Muradi No. 12 Kota Sungai Penuh;Usaha Transportasi;1,3,5
11;15;JAMBI;1572;CV. PO. Punai Indah;Jl. Muradi No. 31 Kota Sungai Penuh;Usaha Transportasi;1,3,5
12;15;JAMBI;1572;CV. PO. Sahabat Kerinci Wisata;Jl. Komarudin No. 1 RT. 2 Koto Tinggi Sungai Penuh;Usaha Transportasi;1,3,5
13;15;JAMBI;1572;CV. PO. Rinai Transport;Jl. Komarudin RT. 2 Koto Tinggi Sungai Penuh;Usaha Transportasi;1,3,5
14;15;JAMBI;1572;CV. PO. OKI;Jl. Pancasila No. 07 Kota Sungai Penuh;Usaha Transportasi;1,3,5
15;15;JAMBI;1572;Malika Tour and Travel;Jl. Muradi Koto Renah Kota Sungai Penuh;Tour & Travel;1,3,5
16;15;JAMBI;1572;PT. Mubina Fifa Mandiri;Jl. A. Bakarudin No. 59 Kota Sungai Penuh;Tour & Travel;1,3,5
17;15;JAMBI;1572;CV. PO. Big Family Kerinci;Jl. A. Bakarudin No. 58 Kota Sungai Penuh;Usaha Transportasi;1,3,5
18;15;JAMBI;1572;CV. PO. Bintang Mutiara Kerinci;Jl. A. Bakarudin Kota Sungai Penuh;Usaha Transportasi;1,3,5
19;15;JAMBI;1572;CV. PO. Alam Kerinci;Jl. Jend. H.A. Thalib Kota Sungai Penuh;Usaha Transportasi;1,3,5
20;15;JAMBI;1572;CV. PO. Bunga Laurenzia;Jl. Jend. H.A. Thalib Kota Sungai Penuh;Usaha Transportasi;1,3,5
21;15;JAMBI;1572;Ajwa Tour and Travel;Jl. M. H. Thamrin No. 15 Kota Sungai Penuh;Tour & Travel;1,3,5
22;15;JAMBI;1572;CV. PO. Ayu Transport;Jl. Yos Sudarso Kota Sungai Penuh;Usaha Transportasi;1,3,5
23;15;JAMBI;1572;PT. Anak Gunung Wisata Indah;Jl. Yos Sudarso Desa Gedang Kota Sungai Penuh;Usaha Transportasi;1,3,5
24;15;JAMBI;1572;Al-Azhar;Jl. Yos Sudarso Desa Gedang Kota Sungai Penuh;Tour & Travel;1,3,5
25;15;JAMBI;1572;PT. Kerinci Utama Ceria;Jl. Yos Sudarso Desa Gedang Kota Sungai Penuh;Usaha Transportasi;1,3,5
26;15;JAMBI;1572;PT. Safa Marwa;Jl. Yos Sudarso Desa Gedang Kota Sungai Penuh;Usaha Transportasi;1,3,5
27;15;JAMBI;1572;PT. Kerinci Wisata Express;Jl. Yos Sudarso Desa Gedang Kota Sungai Penuh;Usaha Transportasi;1,3,5
28;15;JAMBI;1572;PT. Anak Anum Kerinci;Jl. Sriwijaya Belakang Hotel Masgo;Usaha Transportasi;1,3,5
29;15;JAMBI;1572;CV. PO. Ratu Kerinci;Jl. Depati Parbo RT. 8 Desa Lawang Agung;Usaha Transportasi;1,3,5
30;15;JAMBI;1572;PT. Penjuru Wisata Negeri;Jl. Sultan Hasanudin No. 4 Kota Sungai Penuh;Tour & Travel;1,3,5
31;15;JAMBI;1572;Hannas Tour and Travel;Jl. M. Koekoeh Kec. Pondok Tinggi Sungai Penuh;Tour & Travel;1,3,5
32;15;JAMBI;1572;Permata Jambi;Jl. Prof. M. Yamin, SH Sungai Penuh;Tour & Travel;1,3,5
33;15;JAMBI;1572;Loket Kerinci;Jl. Prof. M. Yamin, SH Sungai Penuh;Tour & Travel;1,3,5
34;15;JAMBI;1572;PT. Armindo Jaya Tur;Jl. H. Bakri No. 10 Kelurahan Dusun Baru;Tour & Travel;1,3,5
35;15;JAMBI;1572;Kantor Umroh Dan Haji;Jl. Basuki Rahmat Kota Sungai Penuh;Tour & Travel;1,3,5
36;15;JAMBI;1572;CV. PO. Palindo Wisata;Jl. Muradi No. 20;Usaha Transportasi;1,3,5
37;15;JAMBI;1572;CV.PO. Latersia Wisata;Jl. Muradi;Usaha Transportasi;1,3,5
38;15;JAMBI;1572;CV. Cahaya Kerinci;-;Usaha Transportasi;1,3,5
39;15;JAMBI;1572;CV.PO. Masgo Wisa Pelopo;Jl Wahid Hasyim;Usaha Transportasi;1,3,5
40;15;JAMBI;1572;CV.PO. Kerinci Permata;-;Usaha Transportasi;1,3,5
41;15;JAMBI;1572;CV.PO. Anak Kerinci;Jl Jend Sudirman;Usaha Transportasi;1,3,5
42;15;JAMBI;1572;CV.PO. Abadi Kerinci;Jl Tanjung Pauh Hilir;Usaha Transportasi;1,3,5
43;15;JAMBI;1572;CV.PO. SKW;Jl Pasar Seberang;Usaha Transportasi;1,3,5
44;15;JAMBI;1572;CV.PO . Famili Kerinci;Jl Pancasila;Usaha Transportasi;1,3,5
45;15;JAMBI;1572;CV.PO. Kerinci Mulya;Jl Kotobaru Semurup;Usaha Transportasi;1,3,5
46;15;JAMBI;1572;CV.PO. Panca Transport;Jl Pancasila;Usaha Transportasi;1,3,5
47;15;JAMBI;1501;PT. Hannas;Jl. Raya No. 3 Tambak Tinggi Sekungkung;Usaha Transportasi;1,3,5
48;15;JAMBI;1501;PO. Megis Indah;Jl. Raya Sawahan Jaya Semurup No. 53;Usaha Transportasi;1,3,5
49;15;JAMBI;1501;CV. PO. Amanah Aqifa;Jl. Raya Sawahan Jaya Semurup No. 53;Usaha Transportasi;1,3,5
50;15;JAMBI;1501;No Name;Jl, Muradi-Semurup No. 12 Desa Pugu;Usaha Transportasi;1,3,5
51;15;JAMBI;1501;CV. PO. Andesta Kerinci;Jl. Raya Pasar Siulak Gedang;Usaha Transportasi;1,3,5
52;15;JAMBI;1501;CV. Restu;Pasar Siulak Gedang;Usaha Transportasi;1,3,5
53;15;JAMBI;1501;CV. PO. Armada;Jl. Raya Pasar Siulak Gedang;Usaha Transportasi;1,3,5
54;15;JAMBI;1501;CV. PO. Rere;Jl. Raya Pasar Siulak Gedang;Usaha Transportasi;1,3,5
55;15;JAMBI;1501;CV. PO. Kerinci;Jl. Lintas Kayu Aro KM.17 Kerinci Siulak Sungai Pegeh;Usaha Transportasi;1,3,5
56;15;JAMBI;1501;CV. PO. Raja Transport;Jl. Lintas Kayu Aro Sungai Pegeh-Siulak;Usaha Transportasi;1,3,5
57;15;JAMBI;1501;CV. Fathan Pariwisata;Jl. Lintas Kayu Aro Sungai Pegeh-Siulak;Usaha Transportasi;1,3,5
58;15;JAMBI;1501;CV. Fathan Group;Jl. Raya Siulak-Sungai Lebuh;Usaha Transportasi;1,3,5
59;15;JAMBI;1501;Bip Pratama;Sungai Lebuh-kec. Siulak;Tour & Travel;1,3,5
60;15;JAMBI;1501;Tour And Travel II Bule;Jl. Muradi KM. 37 Kayu Aro-Sungai Penuh;Tour & Travel;1,3,5
61;15;JAMBI;1501;Arfa Rental Excutive;Belui;Usaha Transportasi;1,3,5
62;15;JAMBI;1501;Oki Travel;Belui;Usaha Transportasi;1,3,5
63;15;JAMBI;1501;Arjuna Travel;Belui;Usaha Transportasi;1,3,5
64;15;JAMBI;1501;Komala Sari;Psr Senin Siulak;Usaha Transportasi;1,3,5
65;15;JAMBI;1501;Gunung Kerinci;Siulak Gedang;Usaha Transportasi;1,3,5
66;15;JAMBI;1501;Kerinci Mulya;Psr.Semurup;Usaha Transportasi;1,3,5
67;15;JAMBI;1501;Ceria Travel;Tanjung Pauh Hilir;Usaha Transportasi;1,3,5
68;15;JAMBI;1501;Kerinci Permata;Pulau Tengah;Usaha Transportasi;1,3,5
69;15;JAMBI;1501;Ratu Kerinci;Semerap;Usaha Transportasi;1,3,5
70;15;JAMBI;1501;Safa Marwa;Lolo;Usaha Transportasi;1,3,5
71;15;JAMBI;1507;PT. Chairul Umam Addauli;Jl. Imam Bonjol, Talang Babat;Usaha Transportasi;1,3,5
72;15;JAMBI;1506;Dunia;Jl. Lintas Sumatra;Usaha Transportasi;1,3,5
73;15;JAMBI;1506;PO. Indonesia Mulia Sakti (IMI);Jl. Palembang No. 10 Kuala Tungkal;Usaha Transportasi;1,3,5
74;15;JAMBI;1506;KBIH Nurul Haramain;Jl. Panglima Kuala Tungkal;Usaha Perjalanan;1,3,5
75;15;JAMBI;1506;PT.Bilqis Anugrah Karya Wisata;Jl Asia, 074221785;Usaha Perjalanan;1,3,4,5
76;15;JAMBI;1506;PT. Rawana Tour;Jl Melati, 081367778544;Usaha Perjalanan;1,3,4,5
77;15;JAMBI;1506;PT.Nur Ilahi Wisata;Jl Pelabuhan,085383775789;Usaha Perjalanan;1,3,4,5
78;15;JAMBI;1506;PT. Al-Aqsha;Jl Parit Gompong;Usaha Perjalanan;1,3,4,5
79;15;JAMBI;1503;PO. Karya Bersama Travel;Jl. Lintas Sumatera KM. 1 Sri Pelayang;Usaha Transportasi;1,3,5
80;15;JAMBI;1503;PO. Ratu Intan;Jl. Lintas Sumatera KM. 1 Sri Pelayang;Usaha Transportasi;1,3,5
81;15;JAMBI;1503;PO. Jasa Guna Travel;Jl. Lintas Sumatera KM. 11  Simpang;Usaha Transportasi;1,3,5
82;15;JAMBI;1503;CV. Aisyah;Pelawan Jl. Lintas Sumatera KM. 25  Ds. Bukit Tigo;Usaha Transportasi;1,3,5
83;15;JAMBI;1503;PO. BHI;Jl. Lintas Sumatera KM. 25  Ds. Bukit Tigo;Usaha Transportasi;1,3,5
84;15;JAMBI;1503;Mandiri Travel;Jl. Sarolangun - Jambi Sungai Belati Sri Pelayang Ilir Kelurahan Sarkam;Usaha Transportasi;1,3,5
85;15;JAMBI;1503;JSP Travel;Jl. Sarolangun - Jambi Sungai Belati Sri;Usaha Transportasi;1,3,5
86;15;JAMBI;1503;Family Raya Travel;Jl. Lintas Sumatera Km. 1 Kel. Pasar Sarolangun Telp. 08127475406;Usaha Transportasi;1,3,5
87;15;JAMBI;1503;Perdana Indah Travel;Jl. Sarolangun - Jambi Sungai Belati Sri;Usaha Transportasi;1,3,5
88;15;JAMBI;1503;Top Travel;Jl. Lintas Sumatera Km. 1 Kel. Pasar Sarolangun  Telp. 0745-91675;Usaha Transportasi;1,3,5
89;15;JAMBI;1503;Rani Trans;Jl. Sarolangun - Jambi Sungai Belati Sri Pelayang Ilir Kelurahan Sarkam ;Usaha Transportasi;1,3,6
90;15;JAMBI;1503;Armaja Jaya;Jl. Sarolangun - Jambi Sungai Belati Sri Pelayang Ilir Kelurahan Sarkam;Usaha Transportasi;1,3,7
91;15;JAMBI;1503;PT. Penjuru Wisata Negeri;Jl. Lintas Sumatera KM. 2 Aur Gading;Tour & Travel;1,2,3,4,5
92;15;JAMBI;1504;PO. Karya Bersama Travel;Jl. Simpang 3 Jalan Baru Kampung Baru Muara Bulian;Usaha Transportasi;1,3,5
93;15;JAMBI;1504;Sriwijaya Air;Jl. Gajah Mada Muara Bulian Kab. Batanghari;Usaha Transportasi;1,3,5
94;15;JAMBI;1504;PT. Abyan Prima sentosa;Jl. Gajah Mada Muara Bulian Kab. Batanghari;Usaha Transportasi;1,3,5
95;15;JAMBI;1504;Lion Air Group;Jl. Gajah Mada Muara Bulian Kab. Batanghari;Usaha Transportasi;1,3,5
96;15;JAMBI;1504;Malika;Rantau Kapas Rt/Rw 001/001 Kel. Rantau Kapas Mudo;Usaha Transportasi;1,3,5
97;15;JAMBI;1505;Dunia;Jl. Lintas Sumatra;Usaha Transportasi;1,3,5
98;15;JAMBI;1505;PT. Pbn;Jl. Lintas Sumatra Muaro Jambi;Usaha Transportasi;1,3,5
99;15;JAMBI;1505;Garuda Indonesia;Jl. Lintas Sumatra, Mendalo Muaro Jambi;Usaha Transportasi;1,3,5
100;15;JAMBI;1505;Sriwijaya Air;Jl. Jambi Muara Bulian-Muaro Jambi;Usaha Transportasi;1,3,5
101;15;JAMBI;1505;PT. Sinar Tapanuli Jaya;Jl. Jambi Sungai Gelam;Usaha Transportasi;1,3,5
102;15;JAMBI;1505;Paw Travel;Jl. Jambi Palembang;Usaha Transportasi;1,3,5
103;15;JAMBI;1505;PT. Labbaika Tour;Jl. Jambi Palembang Sebapo Muaro Jambi;Usaha Perjalanan;1,3,5
104;15;JAMBI;1505;Tiket Pesawat;Marga Mulya Sungai Bahar;Usaha Transportasi;1,3,5
105;15;JAMBI;1505;PT. Grand Darussalam;Jl. Poros Unit 1 Sungai Bahar;Usaha Perjalanan;1,3,5
106;15;JAMBI;1505;Mega Lame Tour & Travel;Jl Lintas Jambi-Ma.Bulian, Jaluko;Usaha Perjalanan;1,3,5
107;15;JAMBI;1505;Raudah Madina Wiata;Jl Lintas Jambi-Ma.Bulian, Jaluko;Usaha Perjalanan;1,3,5
108;15;JAMBI;1509;PO. Medan jaya;Jl. 24 Poros Unit 1 Rimbo Bujang Kab.Tebo;Usaha Transportasi;1,3,5
109;15;JAMBI;1509;PO. Panji;Jl. Sultan Thaha Saifuddin Tebo;Usaha Transportasi;1,3,5
110;15;JAMBI;1509;PO. Zada Tour Dan Travel;Jl. Lintas Tebo-Bungo Kab Tebo;Usaha Perjalanan;1,3,5
111;15;JAMBI;1509;PO. CV. Tebo Mandiri;Jl. Lintas Tebo-Jambi KM 1;Usaha Transportasi;1,3,5
112;15;JAMBI;1509;CV. PO. Putra Tebo Mandiri;Jl. Lintas Bungo-Tebo KM 0;Usaha Transportasi;1,3,5
113;15;JAMBI;1509;CV. Yossy Mandiri Travel;Jl. Pahlawan Rimbo Bujang Kab. Tebo;Usaha Transportasi;1,3,5
114;15;JAMBI;1509;PO. CV. Teluk Kembang;Jl. Rimbo Bujang Kab. Tebo;Usaha Transportasi;1,3,5
115;15;JAMBI;1509;PO. Sari Mustika;Jl. Pahlawan Rimbo Bujang Kab. Tebo;Usaha Transportasi;1,3,5
