id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jumlah
1;15;JAMBI;1571;181
2;15;JAMBI;1509;29
3;15;JAMBI;1506;28
4;15;JAMBI;1508;27
5;15;JAMBI;1504;24
6;15;JAMBI;1503;21
7;15;JAMBI;1507;19
8;15;JAMBI;1502;18
9;15;JAMBI;1505;18
10;15;JAMBI;1501;2
11;15;JAMBI;1572;1
