kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2022
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2022
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2022
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;13;ORANG;2022
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2022
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;17;ORANG;2022
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;12;ORANG;2022
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2022
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2022
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;17;ORANG;2023
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;24;ORANG;2023
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2023
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2023
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2023
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;13;ORANG;2023
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;17;ORANG;2023
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;12;ORANG;2023
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2023
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2023
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;18;ORANG;2024
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2024
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2024
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;11;ORANG;2024
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;13;ORANG;2024
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;12;ORANG;2024
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;10;ORANG;2024
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TENAGA KESEJAHTERAAN SOSIAL KECAMATAN;8;ORANG;2024
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;44;ORANG;2021
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;52;ORANG;2021
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;53;ORANG;2021
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;TAGANA;75;ORANG;2021
