kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;BAIK;16,4;KILOMETER;2022
15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;BAIK;6,555;KILOMETER;2022
15;JAMBI;1501;JUJUN - LEMPUR;BAIK;13,422;KILOMETER;2022
15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;BAIK;14,345;KILOMETER;2022
15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);BAIK;4,85;KILOMETER;2022
15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;BAIK;3,7;KILOMETER;2022
15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;BAIK;42,21;KILOMETER;2022
15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;BAIK;22,793;KILOMETER;2022
15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;BAIK;19,4;KILOMETER;2022
15;JAMBI;1502;DUSUN TUO - JANGKAT ;BAIK;61,057;KILOMETER;2022
15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;BAIK;20;KILOMETER;2022
15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;BAIK;2;KILOMETER;2022
15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;BAIK;1,6;KILOMETER;2022
15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;BAIK;7,2;KILOMETER;2022
15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;BAIK;0;KILOMETER;2022
15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;BAIK;0,8;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SUTOMO;BAIK;0;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;BAIK;1,716;KILOMETER;2022
15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;BAIK;1;KILOMETER;2022
15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;BAIK;2,4;KILOMETER;2022
15;JAMBI;1571;JLN. HOS COKRO AMINOTO;BAIK;1,6;KILOMETER;2022
15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;BAIK;3,017;KILOMETER;2022
15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;BAIK;1,4;KILOMETER;2022
15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;BAIK;0,4;KILOMETER;2022
15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;BAIK;1,6;KILOMETER;2022
15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;BAIK;3,206;KILOMETER;2022
15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;BAIK;2,101;KILOMETER;2022
15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;BAIK;4,5;KILOMETER;2022
15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;BAIK;1,8;KILOMETER;2022
15;JAMBI;1571;JL. R. SIAGIAN;BAIK;2,818;KILOMETER;2022
15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;BAIK;2;KILOMETER;2022
15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;SEDANG;0,52;KILOMETER;2022
15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;SEDANG;4,4;KILOMETER;2022
15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;SEDANG;9,2;KILOMETER;2022
15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;SEDANG;8,641;KILOMETER;2022
15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;SEDANG;6,6;KILOMETER;2022
15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;SEDANG;4,6;KILOMETER;2022
15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;SEDANG;7,3;KILOMETER;2022
15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;SEDANG;6,2;KILOMETER;2022
