NO ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode kecamatan;kode_kelurahan_desa;nilai_idm;status_idm
1;15;JAMBI;1501;150101;1501012002;0,5863;TERTINGGAL
2;15;JAMBI;1501;150101;1501012005;0,553;TERTINGGAL
3;15;JAMBI;1501;150101;1501012012;0,5968;TERTINGGAL
4;15;JAMBI;1501;150106;1501062016;0,5843;TERTINGGAL
5;15;JAMBI;1501;150109;1501092041;0,5968;TERTINGGAL
6;15;JAMBI;1501;150118;1501182009;0,5457;TERTINGGAL
7;15;JAMBI;1501;150118;1501182010;0,5765;TERTINGGAL
8;15;JAMBI;1501;150118;1501182013;0,5273;TERTINGGAL
9;15;JAMBI;1502;150201;1502012001;0,5503;TERTINGGAL
10;15;JAMBI;1502;150201;1502012002;0,5746;TERTINGGAL
11;15;JAMBI;1502;150201;1502012024;0,5937;TERTINGGAL
12;15;JAMBI;1503;150301;1503012004;0,5781;TERTINGGAL
13;15;JAMBI;1503;150301;1503012006;0,5671;TERTINGGAL
14;15;JAMBI;1503;150301;1503012016;0,5846;TERTINGGAL
15;15;JAMBI;1503;150301;1503012022;0,5711;TERTINGGAL
16;15;JAMBI;1503;150301;1503012023;0,5897;TERTINGGAL
17;15;JAMBI;1503;150302;1503022010;0,577;TERTINGGAL
18;15;JAMBI;1503;150302;1503022011;0,5892;TERTINGGAL
19;15;JAMBI;1503;150302;1503022012;0,5916;TERTINGGAL
20;15;JAMBI;1503;150302;1503022021;0,5859;TERTINGGAL
21;15;JAMBI;1503;150302;1503022023;0,5941;TERTINGGAL
22;15;JAMBI;1503;150304;1503042007;0,5898;TERTINGGAL
23;15;JAMBI;1503;150304;1503042008;0,5914;TERTINGGAL
24;15;JAMBI;1503;150306;1503062003;0,5943;TERTINGGAL
25;15;JAMBI;1503;150306;1503062008;0,56;TERTINGGAL
26;15;JAMBI;1503;150306;1503062023;0,5881;TERTINGGAL
27;15;JAMBI;1507;150701;1507012014;0,5852;TERTINGGAL
28;15;JAMBI;1507;150701;1507012016;0,5694;TERTINGGAL
29;15;JAMBI;1507;150701;1507012017;0,5879;TERTINGGAL
30;15;JAMBI;1507;150701;1507012018;0,5867;TERTINGGAL
31;15;JAMBI;1507;150702;1507022005;0,5916;TERTINGGAL
32;15;JAMBI;1507;150705;1507052001;0,5583;TERTINGGAL
33;15;JAMBI;1507;150705;1507052004;0,5917;TERTINGGAL
34;15;JAMBI;1507;150705;1507052006;0,5057;TERTINGGAL
35;15;JAMBI;1507;150705;1507052007;0,5702;TERTINGGAL
36;15;JAMBI;1507;150705;1507052008;0,5306;TERTINGGAL
37;15;JAMBI;1507;150705;1507052009;0,5594;TERTINGGAL
38;15;JAMBI;1508;150801;1508012015;0,5886;TERTINGGAL
39;15;JAMBI;1508;150816;1508162001;0,5651;TERTINGGAL
