no;kode_provinsi;provinsi;kode_kabupaten_kota;kode_kecamatan;nama_daya_tarik_wisata;jenis_daya_tarik_wisata
63;15;JAMBI;1507;150707;Masjid Agung Nur Ad Drajat;Sejarah/Budaya 
64;15;JAMBI;1507;150707;Rumah Adat Bukit Menderang;Sejarah/Budaya 
65;15;JAMBI;1507;150705;Pantai Air Hitam;Alam
66;15;JAMBI;1506;-;Taman Nasional Bukit 30 (TNBT);Alam 
67;15;JAMBI;1506;150602;Pantai Pasir Putih & Hutan Mangrove;Alam 
68;15;JAMBI;1506;150601;Air Terjun Pehlang;Alam 
69;15;JAMBI;1506;150607;Air Terjun Pinang Bawah;Alam 
70;15;JAMBI;1506;150605;Payo Lebar;Alam 
71;15;JAMBI;1506;150607;Arung Jeram Sungai Tantang;Alam 
72;15;JAMBI;1506;150607;Air Terjun Lingkis;Alam 
73;15;JAMBI;1506;150607;Air Terjun Taman Raja;Alam 
74;15;JAMBI;1506;150608;Air Terjun Seng;Alam 
75;15;JAMBI;1506;150604;Pemandian Air Hangat ;Alam  
76;15;JAMBI;1506;-;Pusat Pelatihan Gajah Sumatera;Buatan 
77;15;JAMBI;1506;150602;Dermaga & Pasar Kuala Tungkal;Buatan 
78;15;JAMBI;1506;150602;Taman Wisata Ancol Beach;Buatan 
79;15;JAMBI;1506;150602;Pelabuhan Roro Kuala Tungkal;Buatan 
80;15;JAMBI;1506;150602;Water Front City;Buatan 
81;15;JAMBI;1506;150602;Taman Persitaj;Buatan 
82;15;JAMBI;1506;150602;Taman Selaras Pinang Masak;Buatan 
83;15;JAMBI;1506;150607;Taman Bukit Batu Suban;Buatan 
84;15;JAMBI;1506;150604;Kebun Kopi ;Buatan 
85;15;JAMBI;1506;150602;Taman Disparpora ;Buatan 
86;15;JAMBI;1506;150604;Taman Wisata Lestari Indah;Buatan 
87;15;JAMBI;1506;150601;Air Terjun Ratu Calista;Buatan 
88;15;JAMBI;1506;150602;Taman PKK;Buatan 
89;15;JAMBI;1506;150602;Taman Pondok Cinta;Buatan 
90;15;JAMBI;1506;150607;Umo Cinto;Buatan 
91;15;JAMBI;1506;150602;Alun-Alun Kota Kuala Tungkal;Buatan 
92;15;JAMBI;1506;150605;Masjid Besar Surya Khairuddin;Sejarah/Budaya 
93;15;JAMBI;1506;150611;Balai Adat Tanjung Jabung Barat;Sejarah/Budaya 
94;15;JAMBI;1506;150602;Mangrove Pangkal Babu;Buatan
95;15;JAMBI;1506;150604;Jembatan Karindangan;Buatan
96;15;JAMBI;1506;150611;Desa Delima;Buatan
97;15;JAMBI;1506;150602;Eko Wisata Suko Rejo;Buatan
98;15;JAMBI;1506;150602;Titian Orang Kayo Mustiko Rajo Alam (WFC);Alam
99;15;JAMBI;1501;150109;Danau Belibis ;Alam 
100;15;JAMBI;1501;150109;Air Terjun Telun Berasap ;Alam 
101;15;JAMBI;1501;150109;Aroma Pecco ;Alam 
102;15;JAMBI;1501;150109;Kebun Teh Kayu Aro;Alam 
103;15;JAMBI;1501;150109;Goa Kasah ;Alam 
104;15;JAMBI;1501;150119;Rawa Ladeh Panjang ;Alam 
105;15;JAMBI;1501;150109;Batu Tongkang ;Alam 
106;15;JAMBI;1501;150115;Air Terjun Pauh Tinggi ;Alam 
107;15;JAMBI;1501;150115;Air Terjun Panorama Tujuh;Alam 
