kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jenis_bencana;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;MANUISIA;LUKA RINGAN;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;RUSAK TOTAL;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;RUSAK BERAT;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;RUSAK RINGAN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;TERGENANG;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;TERENDAM;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;KIOS;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;RUMAH;BANGUNAN LAIN;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;MENDERITA DAN MENGUNGSI;KEPALA KELUARGA;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;MENDERITA DAN MENGUNGSI;JIWA;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;FASILITAS SOSIAL;SEKOLAH;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;FASILITAS SOSIAL;KANTOR;UNIT;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;FASILITAS SOSIAL;TEMPAT IBADAH;JIWA;0; Rp- 
15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;TANAH LONGSOR;01/01/2022;FASILITAS SOSIAL;SARANA KESEHATAN;UNIT;0; Rp- 
