NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1508;BUNGO;CASSIAVERA;3;19;-;22;HEKTAR;2022
2;15;JAMBI;1502;MERANGIN;CASSIAVERA;2.179;2.120;10;4.309;HEKTAR;2022
3;15;JAMBI;1503;SAROLANGUN;CASSIAVERA;130;200;340;670;HEKTAR;2022
4;15;JAMBI;1501;KERINCI;CASSIAVERA;28.460;12.480;210;41.150;HEKTAR;2022
5;15;JAMBI;1572;SUNGAI PENUH;CASSIAVERA;30.802;14.975;566;46.343;HEKTAR;2022
6;15;JAMBI;1508;BUNGO;CASSIAVERA;2;19;-;21;HEKTAR;2023
7;15;JAMBI;1502;MERANGIN;CASSIAVERA;2.298;2.140;0;4.438;HEKTAR;2023
8;15;JAMBI;1503;SAROLANGUN;CASSIAVERA;147;200;200;547;HEKTAR;2023
9;15;JAMBI;1501;KERINCI;CASSIAVERA;26.890;14.163;210;41.053;HEKTAR;2023
10;15;JAMBI;1572;SUNGAI PENUH;CASSIAVERA;40;156;0;196;HEKTAR;2023
