id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;persentase
1;15;JAMBI;1501;100
2;15;JAMBI;1503;97,59
3;15;JAMBI;1506;93,64
4;15;JAMBI;1505;92,41
5;15;JAMBI;1502;92,14
6;15;JAMBI;1508;91,72
7;15;JAMBI;1507;91,13
8;15;JAMBI;1572;90,14
9;15;JAMBI;1509;89,97
10;15;JAMBI;1504;88,76
11;15;JAMBI;1571;84,7
