id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian; jumlah_kerugian 
1;15;JAMBI;1572;157208;20/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
2;15;JAMBI;1572;157208;20/01/2022;LUKA BERAT;JIWA;0; Rp- 
3;15;JAMBI;1572;157208;20/01/2022;LUKA RINGAN;JIWA;0; Rp- 
4;15;JAMBI;1572;157208;20/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
5;15;JAMBI;1572;157208;20/01/2022;JIWA;JIWA;0; Rp- 
6;15;JAMBI;1508;150807;01/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
7;15;JAMBI;1508;150807;01/01/2022;LUKA BERAT;JIWA;0; Rp- 
8;15;JAMBI;1508;150807;01/01/2022;LUKA RINGAN;JIWA;0; Rp- 
9;15;JAMBI;1508;150807;01/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
10;15;JAMBI;1508;150807;01/01/2022;JIWA;JIWA;0; Rp- 
11;15;JAMBI;1508;150813;01/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
12;15;JAMBI;1508;150813;01/01/2022;LUKA BERAT;JIWA;0; Rp- 
13;15;JAMBI;1508;150813;01/01/2022;LUKA RINGAN;JIWA;0; Rp- 
14;15;JAMBI;1508;150813;01/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
15;15;JAMBI;1508;150813;01/01/2022;JIWA;JIWA;0; Rp- 
16;15;JAMBI;1508;150806;01/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
17;15;JAMBI;1508;150806;01/01/2022;LUKA BERAT;JIWA;0; Rp- 
18;15;JAMBI;1508;150806;01/01/2022;LUKA RINGAN;JIWA;0; Rp- 
19;15;JAMBI;1508;150806;01/01/2022;KEPALA KELUARGA;JIWA;20; Rp- 
20;15;JAMBI;1508;150806;01/01/2022;JIWA;JIWA;90; Rp- 
21;15;JAMBI;1508;150810;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
22;15;JAMBI;1508;150810;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
23;15;JAMBI;1508;150810;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
24;15;JAMBI;1508;150810;02/01/2022;KEPALA KELUARGA;JIWA;318; Rp- 
25;15;JAMBI;1508;150810;02/01/2022;JIWA;JIWA;1272; Rp- 
26;15;JAMBI;1508;150810;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
27;15;JAMBI;1508;150810;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
28;15;JAMBI;1508;150810;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
29;15;JAMBI;1508;150810;02/01/2022;KEPALA KELUARGA;JIWA;64; Rp- 
30;15;JAMBI;1508;150810;02/01/2022;JIWA;JIWA;206; Rp- 
31;15;JAMBI;1508;150810;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
32;15;JAMBI;1508;150810;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
33;15;JAMBI;1508;150810;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
34;15;JAMBI;1508;150810;02/01/2022;KEPALA KELUARGA;JIWA;39; Rp- 
35;15;JAMBI;1508;150810;02/01/2022;JIWA;JIWA;185; Rp- 
36;15;JAMBI;1508;150802;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
37;15;JAMBI;1508;150802;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
38;15;JAMBI;1508;150802;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
39;15;JAMBI;1508;150802;02/01/2022;KEPALA KELUARGA;JIWA;350; Rp- 
40;15;JAMBI;1508;150802;02/01/2022;JIWA;JIWA;1097; Rp- 
41;15;JAMBI;1508;150802;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
42;15;JAMBI;1508;150802;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
43;15;JAMBI;1508;150802;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
44;15;JAMBI;1508;150802;02/01/2022;KEPALA KELUARGA;JIWA;13; Rp- 
45;15;JAMBI;1508;150802;02/01/2022;JIWA;JIWA;53; Rp- 
46;15;JAMBI;1508;150814;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
47;15;JAMBI;1508;150814;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
48;15;JAMBI;1508;150814;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
49;15;JAMBI;1508;150814;02/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
50;15;JAMBI;1508;150814;02/01/2022;JIWA;JIWA;0; Rp- 
51;15;JAMBI;1508;150814;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
52;15;JAMBI;1508;150814;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
53;15;JAMBI;1508;150814;02/01/2022;LUKA RINGAN;JIWA;0; Rp- 
54;15;JAMBI;1508;150814;02/01/2022;KEPALA KELUARGA;JIWA;0; Rp- 
55;15;JAMBI;1508;150814;02/01/2022;JIWA;JIWA;0; Rp- 
56;15;JAMBI;1508;150809;02/01/2022;MENINGGAL DUNIA;JIWA;0; Rp- 
57;15;JAMBI;1508;150809;02/01/2022;LUKA BERAT;JIWA;0; Rp- 
