NO;kode_provinsi;kode_kabupaten_kota;komoditi;luas_panen;satuan;tahun
110;15;1505;KACANG HIJAU;0,00;HEKTAR;2023
111;15;1505;UBI KAYU;77,00;HEKTAR;2023
112;15;1505;UBI JALAR;39,00;HEKTAR;2023
113;15;1506;PADI;5.792,05;HEKTAR;2023
114;15;1506;JANGUNG;250,50;HEKTAR;2023
115;15;1506;KEDELAI;150,60;HEKTAR;2023
116;15;1506;KACANG TANAH;26,00;HEKTAR;2023
117;15;1506;KACANG HIJAU;0,00;HEKTAR;2023
118;15;1506;UBI KAYU;76,00;HEKTAR;2023
119;15;1506;UBI JALAR;24,00;HEKTAR;2023
120;15;1507;PADI;5.821,39;HEKTAR;2023
121;15;1507;JANGUNG;97,80;HEKTAR;2023
122;15;1507;KEDELAI;71,00;HEKTAR;2023
123;15;1507;KACANG TANAH;17,90;HEKTAR;2023
124;15;1507;KACANG HIJAU;0,00;HEKTAR;2023
125;15;1507;UBI KAYU;122,90;HEKTAR;2023
126;15;1507;UBI JALAR;8,00;HEKTAR;2023
127;15;1508;PADI;4.253,62;HEKTAR;2023
128;15;1508;JANGUNG;759,50;HEKTAR;2023
129;15;1508;KEDELAI;1.714,50;HEKTAR;2023
130;15;1508;KACANG TANAH;59,30;HEKTAR;2023
131;15;1508;KACANG HIJAU;1,40;HEKTAR;2023
132;15;1508;UBI KAYU;130,00;HEKTAR;2023
133;15;1508;UBI JALAR;26,00;HEKTAR;2023
134;15;1509;PADI;5.319,47;HEKTAR;2023
135;15;1509;JANGUNG;668,00;HEKTAR;2023
136;15;1509;KEDELAI;498,00;HEKTAR;2023
137;15;1509;KACANG TANAH;82,00;HEKTAR;2023
138;15;1509;KACANG HIJAU;13,00;HEKTAR;2023
139;15;1509;UBI KAYU;150,00;HEKTAR;2023
140;15;1509;UBI JALAR;30,00;HEKTAR;2023
141;15;1571;PADI;335,48;HEKTAR;2023
142;15;1571;JANGUNG;49,50;HEKTAR;2023
143;15;1571;KEDELAI;0,00;HEKTAR;2023
144;15;1571;KACANG TANAH;31,90;HEKTAR;2023
145;15;1571;KACANG HIJAU;0,60;HEKTAR;2023
146;15;1571;UBI KAYU;68,40;HEKTAR;2023
147;15;1571;UBI JALAR;19,80;HEKTAR;2023
148;15;1572;PADI;4.707,48;HEKTAR;2023
149;15;1572;JANGUNG;32,00;HEKTAR;2023
150;15;1572;KEDELAI;0,00;HEKTAR;2023
151;15;1572;KACANG TANAH;4,50;HEKTAR;2023
152;15;1572;KACANG HIJAU;0,00;HEKTAR;2023
153;15;1572;UBI KAYU;53,50;HEKTAR;2023
154;15;1572;UBI JALAR;49,00;HEKTAR;2023
