id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal badan hukum;aktif;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun_industri_usaha;bulan
25;15;JAMBI;1501;150108;1502012008;KOPERASI PEGAWAI NEGERI SMPN PULAU TENGAH;3/30/1983;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
26;15;JAMBI;1501;150102;1501022001;KOPERASI MEKAR SARI DANAU;8/26/2014;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
27;15;JAMBI;1501;150102;1501022001;KOPERASI PEGAWAI NEGERI SMP SANGGARAN AGUNG;6/17/1995;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
28;15;JAMBI;1501;150102;1501222008;KOPERASI PONDOK PESANTREN AL- MUHSININ;6/17/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Koppontren;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
29;15;JAMBI;1501;150102;1501022003;KOPERASI MAJU BERSAMA;6/17/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
30;15;JAMBI;1501;150102;1501022008;KOPERASI GABUNGAN KELOMPOK TANI TANAH UNDANG;2/9/2016;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
31;15;JAMBI;1501;150102;1501022004;KOPERASI UNIT DESA SINAR DANAU;3/30/1996;FALSE;Primer Kabupaten/Kota;Produsen;KUD;JASA LAINNYA;-;-;0;0;-;JUNI
32;15;JAMBI;1501;150102;1501022015;KOPERASI PEGAWAI NEGERI SMPN TANJUNG TANAH;3/12/1985;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JUNI
33;15;JAMBI;1501;150102;1501022001;KOPERASI MAJELIS TAKLIM AL-IKLAS;5/26/1999;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
34;15;JAMBI;1501;150102;1501022015;KOPERASI PERTANIAN NELAYAN SUMBER REZEKI;12/28/2006;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
