id;kode_provinsi;nama_provinsi;golongan_ruang;laki-laki;perempuan;jumlah
1;15;JAMBI;II/C;3;10;13
2;15;JAMBI;III/A;42;73;115
3;15;JAMBI;III/B;2;5;7
