NO;kabupaten/kota;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;%_keluarga_berisiko_stunting
1;KERINCI;48.843;24.674;49,74
2;MERANGIN;69.792;42.496;55,39
3;SAROLANGUN;51.219;29.851;57,35
4;BATANGHARI;48.238;27.745;54,82
5;MUARO JAMBI;72.937;40.511;54,34
6;TANJUNG JABUNG BARAT;53.748;38.295;71,65
7;TANJUNG JABUNG TIMUR;40.002;30.433;71,59
8;BUNGO;60.874;33.263;53,39
9;TEBO;61.100;34.068;54,53
10;KOTA JAMBI;82.970;39.444;46,11
11;KOTA SUNGAI PENUH;15.675;7.920;49,30
12;PROVINSI JAMBI;605.398;348.700;55,79
