id;kode_provinsi;nama_provinsi;judul_inovasi;admin_opd;jenis;inisiator;urusan_pemerintah;kematangan;tahapan_inovasi;tanggal_penerapan;satuan;tahun
31;15;JAMBI;NEW MANEMPEL MELEK (MANAJEMEN PENGELOLAAN LIMBAH MENJADI LIMBAH NILAI EKONOMIS);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);NON DIGITAL;OPD;"KESEHATAN,PEK
ERJAAN UMUM DAN PENATAAN RUANG";90;PENERAPAN;01/07/2022;PERSEN;2023
32;15;JAMBI;RANI KE SUIS (LAPORAN ELEKTRONIK KEGIATAN SUBUH SISWA);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,SOSIAL,KEPEMUDAAN DAN OLAHRAGA;86;PENERAPAN;14/09/2022;PERSEN;2023
33;15;JAMBI;SOPAN BE (SISTEM ONLINE PENDAFTARAN BEASISWA);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN;86;PENERAPAN;16/09/2021;PERSEN;2023
34;15;JAMBI;SITAMI (SISTEM INFORMASI DATA PEREKONOMIAN);BIRO PEREKONOMIAN SETDA PROVINSI JAMBI (IGA2020.PEREKONOMIAN.POVINSI.JAMBI);DIGITAL;OPD;"KOMUNIKASI
DAN INFORMATIKA";83;PENERAPAN;02/12/2022;PERSEN;2023
35;15;JAMBI;ARA ARA KAPAN (AGROFORESTRY ALTERNATIF KETAHANAN PANGAN) PROVINSI JAMBI;"DINAS KEHUTANAN JAMBI
(IGA2020.KEHUTANAN.PROVINSI.JAMBI)";NON DIGITAL;KEPALA DAERAH;PENDIDIKAN;82;PENERAPAN;14/09/2021;PERSEN;2023
36;15;JAMBI;PENTAS (PENETAPAN HARGA TBS);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;82;PENERAPAN;22/12/2022;PERSEN;2023
37;15;JAMBI;SILOKER (SISTEM INFORMASI LAYANAN ONLINE KERJA SAMA);BIRO PEMERINTAHAN SETDA PROVINSI JAMBI (IGA2020.PEMERINTAHAN.PROVINSI.JAMBI);DIGITAL;OPD;FUNGSI PENUNJANG LAINNYA SESUAI DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN;82;PENERAPAN;12/05/2022;PERSEN;2023
38;15;JAMBI;GSM (GULA SEMUT MUARO);"DINAS KEHUTANAN JAMBI
(IGA2020.KEHUTANAN.PROVINSI.JAMBI)";NON DIGITAL;KEPALA DAERAH;PENDIDIKAN;81;PENERAPAN;01/10/2021;PERSEN;2023
39;15;JAMBI;SILKPJ (SISTEM INFORMASI LAPORAN KETERANGAN PERTANGGUNGJAWABAN);BIRO PEMERINTAHAN SETDA PROVINSI JAMBI (IGA2020.PEMERINTAHAN.PROVINSI.JAMBI);DIGITAL;OPD;FUNGSI PENUNJANG LAINNYA SESUAI DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN;81;PENERAPAN;02/03/2022;PERSEN;2023
40;15;JAMBI;SISTEM INFORMASI PERSURATAN ELEKTRONIK (SIPERNIK);BIRO UMUM SETDA PROVINSI JAMBI (IGA2020.BIROUMUM.PROVINSI.JAMBI);DIGITAL;OPD;SOSIAL;81;PENERAPAN;20/05/2022;PERSEN;2023
41;15;JAMBI;ASIAP (APLIKASI SISTEM INFORMASI ASUHAN KEPERAWATAN);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;ASN;KESEHATAN,KOMUNIKASI DAN INFORMATIKA;80;PENERAPAN;14/06/2021;PERSEN;2023
42;15;JAMBI;SIDABAGJA (SISTEM INFORMASI DANA BAGI HASIL PROVINSI JAMBI) UPDATE;"BPKPD PROV. JAMBI
(IGA2020.BAKEUDA.PROVINSI.JAMBI)";DIGITAL;OPD;KEUANGAN;80;PENERAPAN;02/05/2022;PERSEN;2023
43;15;JAMBI;SIAP-SIBETABUN (SISTEM ADMINISTRASI PELAYANAN SERTIFIKASI BENIH TANAMAN PERKEBUNAN);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";DIGITAL;OPD;PERTANIAN;80;PENERAPAN;29/12/2022;PERSEN;2023
44;15;JAMBI;PORTAL INFORMASI CSR PROVINSI JAMBI;"BAPPEDA JAMBI
(IGA2020.BAPPEDA.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN;80;PENERAPAN;26/09/2022;PERSEN;2023
