id;kode_provinsi;nama_provinsi;judul_inovasi;admin_opd;jenis;inisiator;urusan_pemerintah;kematangan;tahapan_inovasi;tanggal_penerapan;satuan;tahun
95;15;JAMBI;SKEMA KEMITRAAN HUTAN;"DINAS KEHUTANAN JAMBI
(IGA2020.KEHUTANAN.PROVINSI.JAMBI)";NON DIGITAL;KEPALA DAERAH;KEHUTANAN;13;PENERAPAN;01/12/2022;PERSEN;2023
96;15;JAMBI;GANG LURI (PEMAGANGAN LUAR NEGERI) DISNAKERTRANS PROVINSI JAMBI;"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;OPD;TENAGA KERJA, PENDIDIKAN DAN PELATIHAN;110;PENERAPAN;09/11/2021;PERSEN;2023
97;15;JAMBI;PKP THR (POS PELAKSANAAN TUNJANGAN HARI RAYA) DINAS NAKERTRANS PROVINSI JAMBI;DINAS NAKERTRANS JAMBI (IGA2020.NAKERTRANS.PROVINSI.JAMBI);NON DIGITAL;OPD;"KETENTERAMAN,
KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,TE NAGA KERJA";110;PENERAPAN;19/04/2021;PERSEN;2023
98;15;JAMBI;SATGAS LINMAS PROVINSI JAMBI (SATUAN TUGAS PERLINDUNGAN MASYARAKAT PROVINSI JAMBI);"BALITBANGDA JAMBI
(IGA2020.PROVINSI.JAMBI)";NON DIGITAL;OPD;"KETENTERAMAN,
KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,S
OSIAL";11;PENERAPAN;01/12/2022;PERSEN;2023
99;15;JAMBI;LAKSAMANDER (PELAKSANAAN PENGARUSUTAMAAN GENDER) DINAS TRANSMIGRASI DAN KETENAGAKERJAAN PROVINSI JAMBI;"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;OPD;TENAGA KERJA, PEMBERDAYAAN PEREMPUAN DAN PELINDUNGAN ANAK;108;PENERAPAN;04/03/2021;PERSEN;2023
100;15;JAMBI;LEMBAGA KERJA SAMA TRIPARTIT;"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;OPD;KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,TE NAGA KERJA;108;PENERAPAN;22/02/2021;PERSEN;2023
101;15;JAMBI;MANTAU UDA AQ (PEMANTAUAN KUALITAS UDARA MELALUI APLIKASI AQMS);DINAS LINGKUNGAN HIDUP JAMBI (IGA2020.DLH.PROVINSI.JAMBI);DIGITAL;OPD;KESEHATAN,KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,LINGKUNGAN HIDUP;107;PENERAPAN;02/01/2021;PERSEN;2023
102;15;JAMBI;SENAM PEKERJA SEHAT;"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;OPD;KESEHATAN,TENAGA KERJA;106;INISIATIF;18/01/2021;PERSEN;2023
103;15;JAMBI;PENGHARGAAN KESELAMATAN DAN KESEHATAN KERJA (K3);"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;OPD;KESEHATAN,TENAGA KERJA;103;INISIATIF;18/01/2021;PERSEN;2023
104;15;JAMBI;GANG DAGRI (PEMAGANGAN DALAM NEGERI);"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;OPD;TENAGA KERJA,PENDIDIKAN DAN PELATIHAN;102;PENERAPAN;18/02/2021;PERSEN;2023
105;15;JAMBI;SI JAGOAN V2 (SISTEM INFORMASI JAMBI GERAKKAN SATU OPD SATU INOVASI VERSI 2);BALITBANGDA JAMBI (IGA.PROV.JAMBI);DIGITAL;OPD;"KOMUNIKASI
DAN INFORMATIKA,PE NELITIAN DAN";101;PENERAPAN;06/12/2021;PERSEN;2023
106;15;JAMBI;INDUK DAERAH JAMBI (INOVASI PRODUK DAERAH JAMBI );BALITBANGDA JAMBI (IGA.PROV.JAMBI);NON DIGITAL;OPD;PENDIDIKAN, SOSIAL, TENAGA KERJA,PENELITIAN DAN PENGEMBANGAN;101;PENERAPAN;02/07/2021;PERSEN;2023
107;15;JAMBI;SUKA MASAKO (SURVEI KEPUASAN MASYARAKAT ONLINE);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;OPD;KESEHATAN,KOMUNIKASI DAN INFORMATIKA;101;PENERAPAN;27/02/2021;PERSEN;2023
108;15;JAMBI;SUDUNG BELAJAR (BELAJAR DIMANO BAE, KAPAN BAE);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN,KOMUNIKASI DAN INFORMATIKA;101;PENERAPAN;10/07/2021;PERSEN;2023
109;15;JAMBI;E-LIBRARY (PERPUSTAKAAN ONLINE) DINAS PENDIDIKAN PROVINSI JAMBI;"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN, SOSIAL, KOMUNIKASI DAN INFORMATIKA, PERPUSTAKAAN;101;PENERAPAN;16/03/2021;PERSEN;2023
110;15;JAMBI;RADAR PERY (RENCANA AKSI DAERAH- PENGURANGAN DAN PENGHAPUSAN MERCURY);DINAS LINGKUNGAN HIDUP JAMBI (IGA2020.DLH.PROVINSI.JAMBI);NON DIGITAL;OPD;KESEHATAN,KETENTERAMAN, KETERTIBAN UMUM, DAN PELINDUNGAN MASYARAKAT,LINGKUNGAN HIDUP;101;PENERAPAN;31/03/2021;PERSEN;2023
111;15;JAMBI;GERAK BANG HARIS BEST (GERAK BATANGHARI BERSIH);DINAS LINGKUNGAN HIDUP JAMBI (IGA2020.DLH.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;LINGKUNGAN HIDUP;101;PENERAPAN;09/03/2022;PERSEN;2023
112;15;JAMBI;SI DIKLAT (SISTEM INFORMASI PENDIDIKAN DAN PELATIHAN);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN, KEPEGAWAIAN;100;PENERAPAN;14/09/2021;PERSEN;2023
113;15;JAMBI;SILAPEG (SISTEM LAYANAN KEPEGAWAIAN);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN, PERENCANAAN, KEPEGAWAIAN;100;PENERAPAN;14/09/2021;PERSEN;2023
114;15;JAMBI;SIGAP MEDIK (SISTEM INFORMASI GABUNGAN PELAYANAN MEDIK);RSUD RADEN MATTAHER JAMBI (IGA2020.RSUD.PROVINSI.JAMBI);DIGITAL;OPD;KESEHATAN;100;PENERAPAN;21/06/2021;PERSEN;2023
115;15;JAMBI;SI SURAT INDAH (SISTIM PERSURATAN INOVASI DAERAH);BALITBANGDA JAMBI (IGA.PROV.JAMBI);DIGITAL;ASN;"KOMUNIKASI
DAN INFORMATIKA,PE RPUSTAKAAN,KE ARSIPAN,KEPEG";0;UJI COBA;07/09/2022;PERSEN;2023
116;15;JAMBI;LEMBAGA SERTIFIKASI PRODUK (LSPRO);"DINAS PERINDAG JAMBI
(IGA2020.PERINDAG.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERDAGANGAN, PERINDUSTRIAN;0;INISIATIF;01/01/2024;PERSEN;2023
