NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1501;KERINCI;150105;AIR HANGAT;874;65;76;107;105;521;0
;15;JAMBI;1501;KERINCI;150121;AIR HANGAT BARAT;690;62;99;110;90;329;0
;15;JAMBI;1501;KERINCI;150111;AIR HANGAT TIMUR;1.889;382;278;263;183;782;1
;15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;1.293;204;239;196;147;504;3
;15;JAMBI;1501;KERINCI;150120;BUKITKERMAN;1.245;252;155;159;134;545;0
;15;JAMBI;1501;KERINCI;150102;DANAU KERINCI;1.260;168;179;190;146;574;3
;15;JAMBI;1501;KERINCI;150123;DANAU KERINCI BARAT;1.037;137;140;132;132;496;0
;15;JAMBI;1501;KERINCI;150117;DEPATI TUJUH;1.259;197;181;183;160;538;0
;15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;1.892;338;281;294;229;750;0
;15;JAMBI;1501;KERINCI;150101;GUNUNG RAYA;795;170;144;114;61;306;0
;15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;1.610;163;220;286;283;654;4
;15;JAMBI;1501;KERINCI;150109;KAYU ARO;2.404;275;333;413;342;1.034;7
;15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;1.766;124;213;294;259;873;3
;15;JAMBI;1501;KERINCI;150108;KELILING DANAU;1.390;103;134;158;163;828;4
;15;JAMBI;1501;KERINCI;150104;SITINJAU LAUT;792;129;147;115;94;304;3
;15;JAMBI;1501;KERINCI;150116;SIULAK;2.582;436;361;366;289;1.123;7
;15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;1.130;274;201;183;97;374;1
;15;JAMBI;1501;KERINCI;150122;TANAH COGOK;766;123;92;110;92;349;0
;15;JAMBI;1502;MERANGIN;150202;BANGKO;3.956;170;495;436;457;2.398;0
;15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;1.170;206;363;194;166;238;3
;15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;1.143;148;228;163;143;461;0
;15;JAMBI;1502;MERANGIN;150201;JANGKAT;1.528;265;439;238;189;397;0
;15;JAMBI;1502;MERANGIN;150218;JANGKAT TIMUR;1.706;680;497;224;136;169;0
;15;JAMBI;1502;MERANGIN;150209;LEMBAH MASURAI;2.071;530;620;338;186;397;0
;15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;1.711;209;366;284;251;601;0
;15;JAMBI;1502;MERANGIN;150203;MUARA SIAU;1.565;581;447;205;122;210;0
;15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;2.042;453;512;276;215;586;0
;15;JAMBI;1502;MERANGIN;150206;PAMENANG;3.517;447;894;701;539;936;0
;15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;2.134;275;459;385;273;742;0
;15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;1.118;177;301;230;168;242;0
;15;JAMBI;1502;MERANGIN;150217;PANGKALAN JAMBU;832;87;180;141;132;292;0
;15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;1.412;90;344;316;240;422;0
;15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;1.585;320;479;253;178;355;0
;15;JAMBI;1502;MERANGIN;150204;SUNGAI MANAU;1.572;316;418;238;135;465;0
;15;JAMBI;1502;MERANGIN;150205;TABIR;3.831;986;1.160;613;479;593;0
;15;JAMBI;1502;MERANGIN;150223;TABIR BARAT;1.728;490;577;256;165;240;0
;15;JAMBI;1502;MERANGIN;150214;TABIR ILIR;1.281;203;285;179;109;505;0
;15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;931;101;246;185;113;286;0
;15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;2.796;159;602;594;465;971;5
;15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;995;169;297;191;131;207;0
;15;JAMBI;1502;MERANGIN;150207;TABIR ULU;1.250;449;347;127;85;242;0
;15;JAMBI;1502;MERANGIN;150224;TIANG PUMPUNG;622;162;210;112;50;88;0
;15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;2.700;278;539;490;510;879;4
;15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;2.401;505;488;389;345;674;0
;15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;1.779;81;122;138;206;1.232;0
;15;JAMBI;1503;SAROLANGUN;150310;CERMIN NAN GEDANG;1.470;320;279;194;174;503;0
;15;JAMBI;1503;SAROLANGUN;150302;LIMUN;2.361;420;500;350;382;709;0
;15;JAMBI;1503;SAROLANGUN;150306;MANDIANGIN;4.466;852;829;739;597;1.449;0
;15;JAMBI;1503;SAROLANGUN;150311;MANDIANGIN TIMUR;0;0;0;0;0;0;0
;15;JAMBI;1503;SAROLANGUN;150304;PAUH;2.519;559;546;414;317;683;0
;15;JAMBI;1503;SAROLANGUN;150305;PELAWAN;3.106;648;648;492;436;882;0
;15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;5.131;459;736;682;742;2.509;3
;15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;3.918;724;787;555;569;1.268;15
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;4.550;436;851;929;690;1.626;18
