kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1571;KOTA JAMBI;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;BAIK;1,6;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;BAIK;3,206;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN.ABDUL RAHMAN SALEH;BAIK;2,101;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;BAIK;4,5;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;BAIK;1,8;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. R. SIAGIAN;BAIK;2,818;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;BAIK;2;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;SEDANG;0,52;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;SEDANG;4,4;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SUAK KANDIS 0 DESA SIMPANG/BERBAK;SEDANG;9,2;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;SEDANG;8,641;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SP. LAGAN - SP. PELABI/ ZONA V;SEDANG;6,6;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMPANG TALANG PUDAK - SUAK KANDIS;SEDANG;4,6;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SUNGAI DUREN - SUNGAI BULUH;SEDANG;7,3;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;SEDANG;6,2;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;SEDANG;1,9;KILOMETER;2022
15;JAMBI;1509;TEBO;MUARA TEBO - SIMP. LOGPON;SEDANG;6,2;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;SEDANG;10,2;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. SAWMIL - SIMP. LOGPON ;SEDANG;3,6;KILOMETER;2022
15;JAMBI;1508;BUNGO;MA. BUNGO - PENINJAUAN - JUNCTION;SEDANG;14;KILOMETER;2022
15;JAMBI;1508;BUNGO;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );SEDANG;21,709;KILOMETER;2022
15;JAMBI;1508;BUNGO;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);SEDANG;10,95;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;SEDANG;8,122;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;JL. SUDIRMAN (MA.BULIAN);SEDANG;1;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;SEDANG;5,8;KILOMETER;2022
15;JAMBI;1501;KERINCI;SANGGARAN AGUNG - JUJUN;SEDANG;2,2;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - LEMPUR;SEDANG;0,4;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;SEDANG;0,2;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;JALAN DEPATI PARBO (SUNGAI PENUH);SEDANG;0;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;SEDANG;9,396;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. PULAU. RENGAS -  MUARA SIAU;SEDANG;8,2;KILOMETER;2022
15;JAMBI;1502;MERANGIN;MUARA SIAU - DUSUN TUO ;SEDANG;9,982;KILOMETER;2022
15;JAMBI;1502;MERANGIN;DUSUN TUO - JANGKAT ;SEDANG;11,968;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PELAWAN - SEI. SALAK ;SEDANG;12,6;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;SEDANG;15,6;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;SEDANG;30,7;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;SEDANG;5,2;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;SEDANG;1,038;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;SEDANG;2,342;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SUTOMO;SEDANG;0,367;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;SEDANG;0,8;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. GAJAH MADA - JLN. HAYAM WURUK;SEDANG;2,123;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;SEDANG;0,2;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. HOS COKRO AMINOTO;SEDANG;0,048;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;SEDANG;0,2;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;SEDANG;2,25;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;SEDANG;1,38;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;SEDANG;1,821;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN.ABDUL RAHMAN SALEH;SEDANG;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;SEDANG;0,7;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. R. SIAGIAN;SEDANG;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;RUSAK RINGAN;1,56;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;RUSAK RINGAN;1,283;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SUAK KANDIS 0 DESA SIMPANG/BERBAK;RUSAK RINGAN;8,2;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;RUSAK RINGAN;17,4;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SP. LAGAN - SP. PELABI/ ZONA V;RUSAK RINGAN;7,2;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMPANG TALANG PUDAK - SUAK KANDIS;RUSAK RINGAN;42,42;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SUNGAI DUREN - SUNGAI BULUH;RUSAK RINGAN;1;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;RUSAK RINGAN;5,074;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;RUSAK RINGAN;6,8;KILOMETER;2022
15;JAMBI;1509;TEBO;MUARA TEBO - SIMP. LOGPON;RUSAK RINGAN;20,4;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;RUSAK RINGAN;6,2;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. SAWMIL - SIMP. LOGPON ;RUSAK RINGAN;0,8;KILOMETER;2022
15;JAMBI;1508;BUNGO;MA. BUNGO - PENINJAUAN - JUNCTION;RUSAK RINGAN;3;KILOMETER;2022
15;JAMBI;1508;BUNGO;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );RUSAK RINGAN;1,414;KILOMETER;2022
15;JAMBI;1508;BUNGO;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);RUSAK RINGAN;0,4;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;RUSAK RINGAN;3;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;JL. SUDIRMAN (MA.BULIAN);RUSAK RINGAN;1,434;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;RUSAK RINGAN;5,9;KILOMETER;2022
15;JAMBI;1501;KERINCI;SANGGARAN AGUNG - JUJUN;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - LEMPUR;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;RUSAK RINGAN;0,2;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;JALAN DEPATI PARBO (SUNGAI PENUH);RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. PULAU. RENGAS -  MUARA SIAU;RUSAK RINGAN;4,6;KILOMETER;2022
15;JAMBI;1502;MERANGIN;MUARA SIAU - DUSUN TUO ;RUSAK RINGAN;5;KILOMETER;2022
15;JAMBI;1502;MERANGIN;DUSUN TUO - JANGKAT ;RUSAK RINGAN;1,014;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PELAWAN - SEI. SALAK ;RUSAK RINGAN;25,9;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;RUSAK RINGAN;12,4;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;RUSAK RINGAN;13,6;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;RUSAK RINGAN;24,85;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;RUSAK RINGAN;1;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SUTOMO;RUSAK RINGAN;0,2;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. GAJAH MADA - JLN. HAYAM WURUK;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;RUSAK RINGAN;1,469;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. HOS COKRO AMINOTO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;RUSAK RINGAN;1,4;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN.ABDUL RAHMAN SALEH;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. R. SIAGIAN;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;RUSAK BERAT;0,26;KILOMETER;2022
15;JAMBI;1506;TANJUNG JABUNG BARAT;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;RUSAK BERAT;0,4;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SUAK KANDIS 0 DESA SIMPANG/BERBAK;RUSAK BERAT;3,666;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;RUSAK BERAT;4,4;KILOMETER;2022
15;JAMBI;1507;TANJUNG JABUNG TIMUR;SP. LAGAN - SP. PELABI/ ZONA V;RUSAK BERAT;5;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMPANG TALANG PUDAK - SUAK KANDIS;RUSAK BERAT;3,4;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SUNGAI DUREN - SUNGAI BULUH;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1505;MUARO JAMBI;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1509;TEBO;MUARA TEBO - SIMP. LOGPON;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1509;TEBO;SIMP. SAWMIL - SIMP. LOGPON ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1508;BUNGO;MA. BUNGO - PENINJAUAN - JUNCTION;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1508;BUNGO;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );RUSAK BERAT;0,202;KILOMETER;2022
15;JAMBI;1508;BUNGO;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;JL. SUDIRMAN (MA.BULIAN);RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1504;BATANGHARI;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1501;KERINCI;SANGGARAN AGUNG - JUJUN;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - LEMPUR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1501;KERINCI;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;JALAN DEPATI PARBO (SUNGAI PENUH);RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1572;KOTA SUNGAI PENUH;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;MERANGIN;SIMP. PULAU. RENGAS -  MUARA SIAU;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;MERANGIN;MUARA SIAU - DUSUN TUO ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;MERANGIN;DUSUN TUO - JANGKAT ;RUSAK BERAT;0,203;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PELAWAN - SEI. SALAK ;RUSAK BERAT;0,2;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;RUSAK BERAT;0,4;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1503;SAROLANGUN;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SUTOMO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;KOTA JAMBI;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;RUSAK BERAT;0;KILOMETER;2022
