NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
86;15;1508;TERNAK BESAR;SAPI POTONG;20.834;EKOR;2020
87;15;1508;TERNAK BESAR;KERBAU;9.967;EKOR;2020
88;15;1508;TERNAK BESAR;KUDA;0;EKOR;2020
89;15;1508;TERNAK KECIL;KAMBING;48.772;EKOR;2020
90;15;1508;TERNAK KECIL;DOMBA;14.839;EKOR;2020
91;15;1508;TERNAK KECIL;BABI;0;EKOR;2020
92;15;1508;TERNAK UNGGAS;AYAM KAMPUNG;514.109;EKOR;2020
93;15;1508;TERNAK UNGGAS;AYAM PETELUR;8.500;EKOR;2020
94;15;1508;TERNAK UNGGAS;AYAM PEDAGING;1.877.350;EKOR;2020
95;15;1508;TERNAK UNGGAS;ITIK;74.489;EKOR;2020
96;15;1508;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
97;15;1509;TERNAK BESAR;SAPI PERAH;0;EKOR;2020
98;15;1509;TERNAK BESAR;SAPI POTONG;39.558;EKOR;2020
99;15;1509;TERNAK BESAR;KERBAU;5.373;EKOR;2020
100;15;1509;TERNAK BESAR;KUDA;4;EKOR;2020
101;15;1509;TERNAK KECIL;KAMBING;43.851;EKOR;2020
102;15;1509;TERNAK KECIL;DOMBA;10.179;EKOR;2020
103;15;1509;TERNAK KECIL;BABI;160;EKOR;2020
104;15;1509;TERNAK UNGGAS;AYAM KAMPUNG;368.795;EKOR;2020
105;15;1509;TERNAK UNGGAS;AYAM PETELUR;19.310;EKOR;2020
106;15;1509;TERNAK UNGGAS;AYAM PEDAGING;17.416.227;EKOR;2020
107;15;1509;TERNAK UNGGAS;ITIK;66.642;EKOR;2020
108;15;1509;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
109;15;1571;TERNAK BESAR;SAPI PERAH;9;EKOR;2020
110;15;1571;TERNAK BESAR;SAPI POTONG;1.526;EKOR;2020
111;15;1571;TERNAK BESAR;KERBAU;137;EKOR;2020
112;15;1571;TERNAK BESAR;KUDA;4;EKOR;2020
113;15;1571;TERNAK KECIL;KAMBING;6.277;EKOR;2020
114;15;1571;TERNAK KECIL;DOMBA;1.088;EKOR;2020
115;15;1571;TERNAK KECIL;BABI;290;EKOR;2020
116;15;1571;TERNAK UNGGAS;AYAM KAMPUNG;72.760;EKOR;2020
117;15;1571;TERNAK UNGGAS;AYAM PETELUR;34.653;EKOR;2020
118;15;1571;TERNAK UNGGAS;AYAM PEDAGING;2.519.261;EKOR;2020
119;15;1571;TERNAK UNGGAS;ITIK;6.597;EKOR;2020
120;15;1571;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
121;15;1572;TERNAK BESAR;SAPI PERAH;0;EKOR;2020
122;15;1572;TERNAK BESAR;SAPI POTONG;4.559;EKOR;2020
123;15;1572;TERNAK BESAR;KERBAU;355;EKOR;2020
124;15;1572;TERNAK BESAR;KUDA;70;EKOR;2020
125;15;1572;TERNAK KECIL;KAMBING;11.971;EKOR;2020
126;15;1572;TERNAK KECIL;DOMBA;3.653;EKOR;2020
127;15;1572;TERNAK KECIL;BABI;0;EKOR;2020
128;15;1572;TERNAK UNGGAS;AYAM KAMPUNG;431.061;EKOR;2020
129;15;1572;TERNAK UNGGAS;AYAM PETELUR;363.150;EKOR;2020
130;15;1572;TERNAK UNGGAS;AYAM PEDAGING;757.673;EKOR;2020
131;15;1572;TERNAK UNGGAS;ITIK;187.559;EKOR;2020
132;15;1572;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2020
133;15;1501;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
134;15;1501;TERNAK BESAR;SAPI POTONG;10.796;EKOR;2021
135;15;1501;TERNAK BESAR;KERBAU;3.811;EKOR;2021
136;15;1501;TERNAK BESAR;KUDA;74;EKOR;2021
137;15;1501;TERNAK KECIL;KAMBING;9.747;EKOR;2021
138;15;1501;TERNAK KECIL;DOMBA;1.046;EKOR;2021
139;15;1501;TERNAK KECIL;BABI;0;EKOR;2021
140;15;1501;TERNAK UNGGAS;AYAM KAMPUNG;224.717;EKOR;2021
141;15;1501;TERNAK UNGGAS;AYAM PETELUR;76.421;EKOR;2021
142;15;1501;TERNAK UNGGAS;AYAM PEDAGING;1.302.000;EKOR;2021
143;15;1501;TERNAK UNGGAS;ITIK;112.719;EKOR;2021
144;15;1501;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
145;15;1502;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
146;15;1502;TERNAK BESAR;SAPI POTONG;17.510;EKOR;2021
147;15;1502;TERNAK BESAR;KERBAU;5.415;EKOR;2021
148;15;1502;TERNAK BESAR;KUDA;3;EKOR;2021
149;15;1502;TERNAK KECIL;KAMBING;49.848;EKOR;2021
150;15;1502;TERNAK KECIL;DOMBA;4.724;EKOR;2021
151;15;1502;TERNAK KECIL;BABI;70;EKOR;2021
152;15;1502;TERNAK UNGGAS;AYAM KAMPUNG;1.915.870;EKOR;2021
153;15;1502;TERNAK UNGGAS;AYAM PETELUR;21.237;EKOR;2021
154;15;1502;TERNAK UNGGAS;AYAM PEDAGING;4.106.880;EKOR;2021
155;15;1502;TERNAK UNGGAS;ITIK;30.117;EKOR;2021
156;15;1502;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
157;15;1503;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
158;15;1503;TERNAK BESAR;SAPI POTONG;9.797;EKOR;2021
159;15;1503;TERNAK BESAR;KERBAU;9.044;EKOR;2021
