no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;alamat;nama_spa;fasilitas
34;15;JAMBI;1571;Jl. Kol. Pol. M. Thaher Kel. Pakuan Baru Kec. Jambi Selatan.;Happy Family Refleksi Dan Shiatsu.;1,3,4,5
35;15;JAMBI;1571;Jl. Empu Gandring Kel. Solok Sipin Kec. Danau Sipin.;Ken Hermawan Reflexology;1,3,4,5
36;15;JAMBI;1571;Jl. Jend. Gatot Subroto Kel. Sungai Asam Kec. Pasar Jambi.;Refleksi Aleya (Hotel Odua Weston).;1,3,4,5
37;15;JAMBI;1571;Jl. Soekarno-Hatta No.40 Kel. Pasir Putih Kec. Jambi Selatan;Casia Health Care (Bw Luxury Jambi/PT.Jambi Permai Abadi).;1,3,4,5
38;15;JAMBI;1571;Jl. KaPT. Pattimura Kel. Simp. Iii Sipin Kec. Kota Baru;Spa Octopus Grand;1,3,4,5
39;15;JAMBI;1571;Jl. Soekarno Hatta No. 18-19 Kel. Paal Merah Kec. Paal Merah;Martha Tilaar Salon Day Spa;1,3,4,5
40;15;JAMBI;1571;Jl. Abdurrahman Saleh Kel. Thehok Kec. Jambi Selatan.;Pijat Dan Mandi Spa Formosa;1,3,4,5
41;15;JAMBI;1571;Jl. Di. Panjaitan Kel. Kebun Handil Kec. Jelutung.;Pijat Massage Dan Mandi Spa Emporium.;1,3,4,5
42;15;JAMBI;1571;Jl. Jend. Gatot Subroto No.111 Kel. Sungai Asam Kec. Pasar Jambi;Spa Abadi Suite Tower;1,3,4,5
43;15;JAMBI;1571;Jl. M. Husni Thamrin Kel. Beringin Kec. Pasar Jambi.;Spa Octopuss Wellness;1,3,4,5
44;15;JAMBI;1571;Jl. Prof. Dr. Soemantri Brodjonegoro Kel. Solok Sipin Kec. Danau Sipin.;Elite Spa Dan Sauna (Swiss-Bel Hotel);1,3,4,5
45;15;JAMBI;1571;Jl. Jend. Gatot Subroto Kel. Sungai Asam Kec. Pasar Jambi.;Spa Aleya (Hotel Odua Weston);1,3,4,5
46;15;JAMBI;1571;Jl. KaPT. Pattimura No.99 E Kel. Simp. Iv Sipin Kec. Telanaipura;Diva Clinic Skin & Spa Body Care;1,3,4,5
47;15;JAMBI;1571;Jl. Iskandar Muda No.168 Kel. Sungai Asam Kec. Pasar Jambi           ;Massage Kesehatan & Kebugaran (Hotel Grand Malioboro);1,3,4,5
48;15;JAMBI;1571;Jl. Soekarno-Hatta No.40 Kel. Pasir Putih Kec. Jambi Selatan;Cassia Spa And Massages;1,3,4,5
1;15;JAMBI;1502;Jl. Jend Sudirman KM. 3 Pematang Kandis, Kota Bangko;Sta Repleksi;1,3,4,5
2;15;JAMBI;1502;Jl. Jend Sudirman KM. 1 Kota Bangko;Trisala Hair & Spa;1,3,4,5
3;15;JAMBI;1502;Jl. Lintas Sumatra KM. 3 Kota Bangko;Orange Beauty Klinik Hair And Spa;1,3,4,5
4;15;JAMBI;1502;Jl. Jend Sudirman KM. 4 Kota Bangko;Pijat Repleksi Bintang Jaya;1,3,4,5
5;15;JAMBI;1502;Jl. Jend Sudirman KM. 4 Kota Bangko;Repleksi Lestari Jaya Indah;1,3,4,5
6;15;JAMBI;1502;Jl. Jend Sudirman KM. 3 Kota Bangko;Pijat Repleksi Tradisional Js Mandiri Jaya;1,3,4,5
