id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
90;15;JAMBI;1504;LAKI-LAKI;0;SEPTEMBER;2023
91;15;JAMBI;1509;LAKI-LAKI;0;SEPTEMBER;2023
92;15;JAMBI;1508;LAKI-LAKI;29;SEPTEMBER;2023
93;15;JAMBI;1502;LAKI-LAKI;0;SEPTEMBER;2023
94;15;JAMBI;1503;LAKI-LAKI;0;SEPTEMBER;2023
95;15;JAMBI;1501;LAKI-LAKI;0;SEPTEMBER;2023
96;15;JAMBI;1572;LAKI-LAKI;0;SEPTEMBER;2023
97;15;JAMBI;1505;LAKI-LAKI;0;SEPTEMBER;2023
98;15;JAMBI;1506;LAKI-LAKI;23;SEPTEMBER;2023
99;15;JAMBI;1507;LAKI-LAKI;0;SEPTEMBER;2023
100;15;JAMBI;1571;LAKI-LAKI;157;OKTOBER;2023
101;15;JAMBI;1504;LAKI-LAKI;16;OKTOBER;2023
102;15;JAMBI;1509;LAKI-LAKI;0;OKTOBER;2023
103;15;JAMBI;1508;LAKI-LAKI;14;OKTOBER;2023
104;15;JAMBI;1502;LAKI-LAKI;0;OKTOBER;2023
105;15;JAMBI;1503;LAKI-LAKI;3;OKTOBER;2023
106;15;JAMBI;1501;LAKI-LAKI;4;OKTOBER;2023
107;15;JAMBI;1572;LAKI-LAKI;0;OKTOBER;2023
108;15;JAMBI;1505;LAKI-LAKI;0;OKTOBER;2023
109;15;JAMBI;1506;LAKI-LAKI;380;OKTOBER;2023
110;15;JAMBI;1507;LAKI-LAKI;0;OKTOBER;2023
111;15;JAMBI;1571;LAKI-LAKI;59;NOVEMBER;2023
112;15;JAMBI;1504;LAKI-LAKI;21;NOVEMBER;2023
113;15;JAMBI;1509;LAKI-LAKI;0;NOVEMBER;2023
114;15;JAMBI;1508;LAKI-LAKI;15;NOVEMBER;2023
115;15;JAMBI;1502;LAKI-LAKI;0;NOVEMBER;2023
116;15;JAMBI;1503;LAKI-LAKI;4;NOVEMBER;2023
117;15;JAMBI;1501;LAKI-LAKI;0;NOVEMBER;2023
118;15;JAMBI;1572;LAKI-LAKI;0;NOVEMBER;2023
119;15;JAMBI;1505;LAKI-LAKI;0;NOVEMBER;2023
120;15;JAMBI;1506;LAKI-LAKI;417;NOVEMBER;2023
121;15;JAMBI;1507;LAKI-LAKI;0;NOVEMBER;2023
122;15;JAMBI;1571;LAKI-LAKI;51;DESEMBER;2023
123;15;JAMBI;1504;LAKI-LAKI;0;DESEMBER;2023
124;15;JAMBI;1509;LAKI-LAKI;0;DESEMBER;2023
125;15;JAMBI;1508;LAKI-LAKI;12;DESEMBER;2023
126;15;JAMBI;1502;LAKI-LAKI;0;DESEMBER;2023
127;15;JAMBI;1503;LAKI-LAKI;7;DESEMBER;2023
128;15;JAMBI;1501;LAKI-LAKI;0;DESEMBER;2023
129;15;JAMBI;1572;LAKI-LAKI;0;DESEMBER;2023
130;15;JAMBI;1505;LAKI-LAKI;0;DESEMBER;2023
131;15;JAMBI;1506;LAKI-LAKI;472;DESEMBER;2023
132;15;JAMBI;1507;LAKI-LAKI;0;DESEMBER;2023
133;15;JAMBI;1571;PEREMPUAN;20;JANUARI;2023
134;15;JAMBI;1504;PEREMPUAN;0;JANUARI;2023
135;15;JAMBI;1509;PEREMPUAN;0;JANUARI;2023
136;15;JAMBI;1508;PEREMPUAN;4;JANUARI;2023
137;15;JAMBI;1502;PEREMPUAN;0;JANUARI;2023
138;15;JAMBI;1503;PEREMPUAN;1;JANUARI;2023
139;15;JAMBI;1501;PEREMPUAN;0;JANUARI;2023
140;15;JAMBI;1572;PEREMPUAN;0;JANUARI;2023
141;15;JAMBI;1505;PEREMPUAN;0;JANUARI;2023
142;15;JAMBI;1506;PEREMPUAN;5;JANUARI;2023
143;15;JAMBI;1507;PEREMPUAN;0;JANUARI;2023
144;15;JAMBI;1571;PEREMPUAN;76;FEBRUARI;2023
145;15;JAMBI;1504;PEREMPUAN;0;FEBRUARI;2023
146;15;JAMBI;1509;PEREMPUAN;0;FEBRUARI;2023
147;15;JAMBI;1508;PEREMPUAN;6;FEBRUARI;2023
148;15;JAMBI;1502;PEREMPUAN;0;FEBRUARI;2023
149;15;JAMBI;1503;PEREMPUAN;1;FEBRUARI;2023
150;15;JAMBI;1501;PEREMPUAN;0;FEBRUARI;2023
151;15;JAMBI;1572;PEREMPUAN;0;FEBRUARI;2023
152;15;JAMBI;1505;PEREMPUAN;0;FEBRUARI;2023
153;15;JAMBI;1506;PEREMPUAN;0;FEBRUARI;2023
154;15;JAMBI;1507;PEREMPUAN;0;FEBRUARI;2023
155;15;JAMBI;1571;PEREMPUAN;44;MARET;2023
156;15;JAMBI;1504;PEREMPUAN;9;MARET;2023
157;15;JAMBI;1509;PEREMPUAN;0;MARET;2023
158;15;JAMBI;1508;PEREMPUAN;1;MARET;2023
159;15;JAMBI;1502;PEREMPUAN;0;MARET;2023
160;15;JAMBI;1503;PEREMPUAN;4;MARET;2023
161;15;JAMBI;1501;PEREMPUAN;0;MARET;2023
162;15;JAMBI;1572;PEREMPUAN;0;MARET;2023
163;15;JAMBI;1505;PEREMPUAN;0;MARET;2023
164;15;JAMBI;1506;PEREMPUAN;1;MARET;2023
165;15;JAMBI;1507;PEREMPUAN;0;MARET;2023
166;15;JAMBI;1571;PEREMPUAN;21;APRIL;2023
167;15;JAMBI;1504;PEREMPUAN;0;APRIL;2023
168;15;JAMBI;1509;PEREMPUAN;0;APRIL;2023
169;15;JAMBI;1508;PEREMPUAN;3;APRIL;2023
170;15;JAMBI;1502;PEREMPUAN;0;APRIL;2023
171;15;JAMBI;1503;PEREMPUAN;0;APRIL;2023
172;15;JAMBI;1501;PEREMPUAN;0;APRIL;2023
173;15;JAMBI;1572;PEREMPUAN;0;APRIL;2023
174;15;JAMBI;1505;PEREMPUAN;0;APRIL;2023
175;15;JAMBI;1506;PEREMPUAN;0;APRIL;2023
176;15;JAMBI;1507;PEREMPUAN;0;APRIL;2023
177;15;JAMBI;1571;PEREMPUAN;88;MEI;2023
178;15;JAMBI;1504;PEREMPUAN;67;MEI;2023
179;15;JAMBI;1509;PEREMPUAN;0;MEI;2023
180;15;JAMBI;1508;PEREMPUAN;24;MEI;2023
181;15;JAMBI;1502;PEREMPUAN;0;MEI;2023
182;15;JAMBI;1503;PEREMPUAN;2;MEI;2023
183;15;JAMBI;1501;PEREMPUAN;0;MEI;2023
184;15;JAMBI;1572;PEREMPUAN;0;MEI;2023
185;15;JAMBI;1505;PEREMPUAN;0;MEI;2023
186;15;JAMBI;1506;PEREMPUAN;4;MEI;2023
187;15;JAMBI;1507;PEREMPUAN;0;MEI;2023
188;15;JAMBI;1571;PEREMPUAN;22;JUNI;2023
189;15;JAMBI;1504;PEREMPUAN;67;JUNI;2023
