NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
;15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;2.820;1.761;1.154;41;1.647;33;1.775
;15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;1.795;603;842;57;1.282;18;1.614
;15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;518;98;190;14;623;10;713
;15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;3.184;664;2.245;122;1.539;24;2.202
;15;JAMBI;1504;BATANGHARI;150401;MERSAM;1.135;207;572;40;1.413;14;1.631
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;4.056;1.454;1.307;63;2.842;82;3.628
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.647;524;736;68;1.507;41;2.055
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.984;698;860;36;1.524;40;2.030
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;933;275;380;29;820;19;960
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;718;266;207;25;610;14;704
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;3.481;819;1.337;35;3.002;68;3.942
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2.648;302;2.183;29;1.293;15;1.558
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;3.603;947;1.522;48;3.110;86;3.338
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;1.733;1.129;447;27;1.088;14;1.337
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2.599;1.194;1.272;30;2.008;40;1.913
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;3.162;1.249;1.171;24;2.043;26;2.282
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;1.027;244;105;17;1.268;22;1.371
