id;kode_provinsi;nama_provinsi;kode_kabupaten_kota
1;15;JAMBI;1504
2;15;JAMBI;1504
3;15;JAMBI;1508
4;15;JAMBI;1508
5;15;JAMBI;1508
6;15;JAMBI;1508
7;15;JAMBI;1571
8;15;JAMBI;1571
9;15;JAMBI;1571
10;15;JAMBI;1571
11;15;JAMBI;1571
12;15;JAMBI;1571
13;15;JAMBI;1571
14;15;JAMBI;1571
15;15;JAMBI;1571
16;15;JAMBI;1571
17;15;JAMBI;1571
18;15;JAMBI;1571
19;15;JAMBI;1571
20;15;JAMBI;1571
21;15;JAMBI;1571
22;15;JAMBI;1571
23;15;JAMBI;1571
24;15;JAMBI;1572
25;15;JAMBI;1572
26;15;JAMBI;1502
27;15;JAMBI;1502
28;15;JAMBI;1502
29;15;JAMBI;1502
30;15;JAMBI;1505
31;15;JAMBI;1505
32;15;JAMBI;1505
33;15;JAMBI;1503
34;15;JAMBI;1503
35;15;JAMBI;1506
36;15;JAMBI;1506
37;15;JAMBI;1507
38;15;JAMBI;1509
39;15;JAMBI;1509
