NO;kabupaten/kota;jumlah_keluarga_sasaran;jumlah_keluarga_berisiko_stunting;%_keluarga_berisiko_stunting
1;KERINCI;49.793;15.708;31,55
2;MERANGIN;65.199;19.413;29,77
3;SAROLANGUN;48.563;11.231;23,13
4;BATANGHARI;83.611;13.608;16,28
5;MUARO JAMBI;15.853;3.251;20,51
6;TANJUNG JABUNG BARAT;70.625;22.909;32,44
7;TANJUNG JABUNG TIMUR;73.850;21.491;29,10
8;BUNGO;53.138;17.638;33,19
9;TEBO;64.603;14.153;21,91
10;KOTA JAMBI;55.278;31.135;56,32
11;KOTA SUNGAI PENUH;40.777;21.401;52,48
12;PROVINSI JAMBI;621.290;191.938;30,89
