id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1571;KELAPA SAWIT;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;KELAPA DALAM;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;KOPI ROBUSTA;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;CASSIAVERA;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;KAKAO;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;PINANG;0;KEPALA KELUARGA;2022
;15;JAMBI;1571;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1572;KARET;0;KEPALA KELUARGA;2022
;15;JAMBI;1572;KELAPA SAWIT;0;KEPALA KELUARGA;2022
;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2022
;15;JAMBI;1572;KOPI ROBUSTA;520;KEPALA KELUARGA;2022
;15;JAMBI;1572;KOPI ARABIKA;1589;KEPALA KELUARGA;2022
;15;JAMBI;1572;CASSIAVERA;377;KEPALA KELUARGA;2022
;15;JAMBI;1572;KAKAO;264;KEPALA KELUARGA;2022
;15;JAMBI;1572;PINANG;179;KEPALA KELUARGA;2022
;15;JAMBI;1572;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1501;KARET;1244;KEPALA KELUARGA;2023
;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2023
;15;JAMBI;1501;KELAPA DALAM;173;KEPALA KELUARGA;2023
;15;JAMBI;1501;KOPI ROBUSTA;7568;KEPALA KELUARGA;2023
;15;JAMBI;1501;KOPI ARABIKA;2897;KEPALA KELUARGA;2023
;15;JAMBI;1501;CASSIAVERA;12944;KEPALA KELUARGA;2023
;15;JAMBI;1501;KAKAO;424;KEPALA KELUARGA;2023
;15;JAMBI;1501;PINANG;675;KEPALA KELUARGA;2023
;15;JAMBI;1501;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1502;KARET;51978;KEPALA KELUARGA;2023
;15;JAMBI;1502;KELAPA SAWIT;43152;KEPALA KELUARGA;2023
;15;JAMBI;1502;KELAPA DALAM;9201;KEPALA KELUARGA;2023
;15;JAMBI;1502;KOPI ROBUSTA;9533;KEPALA KELUARGA;2023
;15;JAMBI;1502;KOPI ARABIKA;16;KEPALA KELUARGA;2023
;15;JAMBI;1502;CASSIAVERA;2403;KEPALA KELUARGA;2023
;15;JAMBI;1502;KAKAO;2069;KEPALA KELUARGA;2023
;15;JAMBI;1502;PINANG;1477;KEPALA KELUARGA;2023
