id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;persentase
1;15;JAMBI;1509;100
2;15;JAMBI;1503;99,65
3;15;JAMBI;1501;97,35
4;15;JAMBI;1508;93,78
5;15;JAMBI;1572;93,61
6;15;JAMBI;1502;93,22
7;15;JAMBI;1507;92,89
8;15;JAMBI;1506;91,36
9;15;JAMBI;1505;87,65
10;15;JAMBI;1504;83,33
11;15;JAMBI;1571;83,05
