NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4;peringkat_kesejahteraan_belum_diketahui
;15;JAMBI;1501;KERINCI;7.267;1.380;1.321;709;662;2.778;417
;15;JAMBI;1502;MERANGIN;13.152;3.419;1.292;1.623;1.645;4.427;746
;15;JAMBI;1503;SAROLANGUN;11.615;2.306;1.498;1.538;1.227;4.600;446
;15;JAMBI;1504;BATANGHARI;11.152;2.080;1.787;1.463;1.124;4.160;538
;15;JAMBI;1505;MUARO JAMBI;14.706;1.761;1.226;1.000;2.263;7.967;489
;15;JAMBI;1506;TANJUNG JABUNG BARAT;25.781;4.874;5.310;3.060;2.903;8.988;646
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;15.734;2.735;2.350;1.177;2.181;7.012;279
;15;JAMBI;1508;BUNGO;13.835;2.175;2.316;1.019;1.518;6.300;507
;15;JAMBI;1509;TEBO;9.908;1.623;1.537;1.106;1.017;4.301;324
;15;JAMBI;1571;KOTA JAMBI;11.877;1.223;976;1.222;1.163;6.982;311
;15;JAMBI;1572;KOTA SUNGAI PENUH;2.068;174;111;136;171;1.371;105
