NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1506;TANJAB BARAT;KOPI LIBERIKA;399;2.034;410;2.843;HEKTAR;2024
2;15;JAMBI;1507;TANJAB TIMUR;KOPI LIBERIKA;405;2.279;780;3.464;HEKTAR;2024
3;15;JAMBI;1506;TANJAB BARAT;KOPI LIBERIKA;424;2.017;403;2.844;HEKTAR;2023
4;15;JAMBI;1507;TANJAB TIMUR;KOPI LIBERIKA;405;2.279;780;3.464;HEKTAR;2023
5;15;JAMBI;1506;TANJAB BARAT;KOPI LIBERIKA;553;1.988;320;2.861;HEKTAR;2022
6;15;JAMBI;1507;TANJAB TIMUR;KOPI LIBERIKA;454;2.279;758;3.491;HEKTAR;2022
