NO,kode_provinsi,kode_kabupaten_kota,komoditi,luas_panen,satuan,tahun
108,15,1503,JENGKOL,41.09,HEKTAR,2023
109,15,1503,JERUK,46.54,HEKTAR,2023
110,15,1503,MANGGIS,3.31,HEKTAR,2023
111,15,1503,NANAS,0.14,HEKTAR,2023
112,15,1503,PISANG,189.76,HEKTAR,2023
113,15,1504,ALPUKAT,1.86,HEKTAR,2023
114,15,1504,DUKU,33.95,HEKTAR,2023
115,15,1504,DURIAN,152.63,HEKTAR,2023
116,15,1504,JENGKOL,32.06,HEKTAR,2023
117,15,1504,JERUK,22.43,HEKTAR,2023
118,15,1504,MANGGIS,14.27,HEKTAR,2023
119,15,1504,NANAS,0.63,HEKTAR,2023
120,15,1504,PISANG,29.37,HEKTAR,2023
121,15,1505,ALPUKAT,43.53,HEKTAR,2023
122,15,1505,DUKU,113.24,HEKTAR,2023
123,15,1505,DURIAN,533.26,HEKTAR,2023
124,15,1505,JENGKOL,76.81,HEKTAR,2023
125,15,1505,JERUK,15.66,HEKTAR,2023
126,15,1505,MANGGIS,13.47,HEKTAR,2023
127,15,1505,NANAS,397.4,HEKTAR,2023
128,15,1505,PISANG,180.7,HEKTAR,2023
129,15,1506,ALPUKAT,0.34,HEKTAR,2023
130,15,1506,DUKU,4.65,HEKTAR,2023
131,15,1506,DURIAN,43.44,HEKTAR,2023
132,15,1506,JENGKOL,57.76,HEKTAR,2023
133,15,1506,JERUK,16.41,HEKTAR,2023
134,15,1506,MANGGIS,9.7,HEKTAR,2023
135,15,1506,NANAS,16.21,HEKTAR,2023
136,15,1506,PISANG,153.25,HEKTAR,2023
137,15,1507,ALPUKAT,11.93,HEKTAR,2023
138,15,1507,DUKU,111.56,HEKTAR,2023
139,15,1507,DURIAN,120.19,HEKTAR,2023
140,15,1507,JENGKOL,35.84,HEKTAR,2023
141,15,1507,JERUK,31.3,HEKTAR,2023
142,15,1507,MANGGIS,27.76,HEKTAR,2023
143,15,1507,NANAS,2.08,HEKTAR,2023
144,15,1507,PISANG,94.81,HEKTAR,2023
145,15,1508,ALPUKAT,6.44,HEKTAR,2023
146,15,1508,DUKU,74.05,HEKTAR,2023
147,15,1508,DURIAN,130.11,HEKTAR,2023
148,15,1508,JENGKOL,62.68,HEKTAR,2023
149,15,1508,JERUK,41.31,HEKTAR,2023
150,15,1508,MANGGIS,6.69,HEKTAR,2023
151,15,1508,NANAS,0.12,HEKTAR,2023
152,15,1508,PISANG,26.67,HEKTAR,2023
153,15,1509,ALPUKAT,8.11,HEKTAR,2023
154,15,1509,DUKU,55.83,HEKTAR,2023
155,15,1509,DURIAN,72.21,HEKTAR,2023
156,15,1509,JENGKOL,30,HEKTAR,2023
157,15,1509,JERUK,7.92,HEKTAR,2023
158,15,1509,MANGGIS,7.39,HEKTAR,2023
159,15,1509,NANAS,0.04,HEKTAR,2023
160,15,1509,PISANG,4.56,HEKTAR,2023
161,15,1571,ALPUKAT,2.34,HEKTAR,2023
162,15,1571,DUKU,0.19,HEKTAR,2023
163,15,1571,DURIAN,2.97,HEKTAR,2023
164,15,1571,JENGKOL,5.88,HEKTAR,2023
165,15,1571,JERUK,0.1,HEKTAR,2023
166,15,1571,MANGGIS,0.21,HEKTAR,2023
167,15,1571,NANAS,0,HEKTAR,2023
168,15,1571,PISANG,1.34,HEKTAR,2023
169,15,1572,ALPUKAT,18.52,HEKTAR,2023
170,15,1572,DUKU,1.59,HEKTAR,2023
171,15,1572,DURIAN,4.72,HEKTAR,2023
172,15,1572,JENGKOL,0.53,HEKTAR,2023
173,15,1572,JERUK,12.17,HEKTAR,2023
174,15,1572,MANGGIS,20.08,HEKTAR,2023
175,15,1572,NANAS,0.01,HEKTAR,2023
176,15,1572,PISANG,5.77,HEKTAR,2023
