id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun
;15;JAMBI;1501;JANGUNG;63,98;KUINTAL/HEKTAR;2023
;15;JAMBI;1501;KEDELAI;17,07;KUINTAL/HEKTAR;2023
;15;JAMBI;1501;KACANG TANAH;21,06;KUINTAL/HEKTAR;2023
;15;JAMBI;1501;KACANG HIJAU;28,33;KUINTAL/HEKTAR;2023
;15;JAMBI;1501;UBI KAYU;274,14;KUINTAL/HEKTAR;2023
;15;JAMBI;1501;UBI JALAR;454,67;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;PADI;39,97;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;JANGUNG;61,76;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;KEDELAI;16,96;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;KACANG TANAH;11,92;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;KACANG HIJAU;10,57;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;UBI KAYU;245,37;KUINTAL/HEKTAR;2023
;15;JAMBI;1502;UBI JALAR;228,66;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;PADI;40,02;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;JANGUNG;64,35;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;KEDELAI;17,32;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;KACANG TANAH;15,55;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;KACANG HIJAU;8,97;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;UBI KAYU;360,87;KUINTAL/HEKTAR;2023
;15;JAMBI;1503;UBI JALAR;155,68;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;PADI;40,35;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;JANGUNG;50,39;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;KEDELAI;17,5;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;KACANG TANAH;13,9;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;KACANG HIJAU;10;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;UBI KAYU;374,87;KUINTAL/HEKTAR;2023
;15;JAMBI;1504;UBI JALAR;278,82;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;PADI;36,07;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;JANGUNG;64,58;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;KEDELAI;15,73;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;KACANG TANAH;13,65;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;KACANG HIJAU;0;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;UBI KAYU;317,51;KUINTAL/HEKTAR;2023
;15;JAMBI;1505;UBI JALAR;119,64;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;PADI;39,54;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;JANGUNG;69,92;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;KEDELAI;21,66;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;KACANG TANAH;14,91;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;KACANG HIJAU;0;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;UBI KAYU;211,36;KUINTAL/HEKTAR;2023
;15;JAMBI;1506;UBI JALAR;238,63;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;PADI;41,34;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;JANGUNG;55,46;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;KEDELAI;20,41;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;KACANG TANAH;14,12;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;KACANG HIJAU;0;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;UBI KAYU;354,36;KUINTAL/HEKTAR;2023
;15;JAMBI;1507;UBI JALAR;244,4;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;PADI;46,08;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;JANGUNG;80,47;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;KEDELAI;14;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;KACANG TANAH;13,96;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;KACANG HIJAU;12,14;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;UBI KAYU;346,49;KUINTAL/HEKTAR;2023
;15;JAMBI;1508;UBI JALAR;246,82;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;PADI;41,79;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;JANGUNG;66,05;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;KEDELAI;15,47;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;KACANG TANAH;12,6;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;KACANG HIJAU;9,23;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;UBI KAYU;236,4;KUINTAL/HEKTAR;2023
;15;JAMBI;1509;UBI JALAR;248,2;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;PADI;40,08;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;JANGUNG;64,9;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;KEDELAI;0;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;KACANG TANAH;13,05;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;KACANG HIJAU;16,67;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;UBI KAYU;295,4;KUINTAL/HEKTAR;2023
;15;JAMBI;1571;UBI JALAR;169,74;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;PADI;61,32;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;JANGUNG;64,09;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;KEDELAI;0;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;KACANG TANAH;14,43;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;KACANG HIJAU;0;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;UBI KAYU;294,94;KUINTAL/HEKTAR;2023
;15;JAMBI;1572;UBI JALAR;255,58;KUINTAL/HEKTAR;2023
;15;JAMBI;1501;PADI;53,14;KUINTAL/HEKTAR;2024
;15;JAMBI;1501;JAGUNG;66,40;KUINTAL/HEKTAR;2024
;15;JAMBI;1501;KEDELAI;30,19;KUINTAL/HEKTAR;2024
;15;JAMBI;1501;KACANG HIJAU;9,76;KUINTAL/HEKTAR;2024
;15;JAMBI;1501;KACANG TANAH;24,91;KUINTAL/HEKTAR;2024
;15;JAMBI;1501;UBI KAYU;398,46;KUINTAL/HEKTAR;2024
;15;JAMBI;1501;UBI JALAR;478,30;KUINTAL/HEKTAR;2024
