NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4
;15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;4.056;429;562;610;475;1.980
;15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;1.647;254;338;254;186;615
;15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;1.984;404;395;381;234;570
;15;JAMBI;1505;MUARO JAMBI;150510;BAHAR SELATAN;933;124;151;104;119;435
;15;JAMBI;1505;MUARO JAMBI;150509;BAHAR UTARA;718;79;144;91;127;277
;15;JAMBI;1505;MUARO JAMBI;150501;JAMBI LUAR KOTA;3.481;244;456;364;421;1.996
;15;JAMBI;1505;MUARO JAMBI;150503;KUMPEH;2.648;182;366;248;279;1.573
;15;JAMBI;1505;MUARO JAMBI;150506;KUMPEH ULU;3.603;176;439;354;479;2.155
;15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;1.733;275;423;267;241;527
;15;JAMBI;1505;MUARO JAMBI;150505;MESTONG;2.599;318;443;322;375;1.141
;15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;3.162;304;511;394;404;1.549
;15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI BAHAR;1.027;49;166;152;184;476
;15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI GELAM;3.641;180;472;386;458;2.145
;15;JAMBI;1505;MUARO JAMBI;150511;TAMAN RAJO;975;129;173;93;121;459
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150607;BATANG ASAM;2.123;239;249;241;312;1.082
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150604;BETARA;3.285;444;703;570;614;954
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150611;BRAM ITAM;2.807;549;626;494;407;731
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;2.425;525;559;526;476;339
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150605;MERLUNG;585;69;62;90;90;274
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;408;22;62;52;65;207
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;4.363;1.025;1.069;858;620;791
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150608;RENAH MENDALUH;1.199;129;144;162;174;590
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;1.396;378;394;319;173;132
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150613;SENYERANG;4.392;892;1.220;1.004;605;671
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150606;TEBING TINGGI;3.342;241;361;421;483;1.836
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150602;TUNGKAL ILIR;6.491;1.171;1.123;1.036;908;2.253
;15;JAMBI;1506;TANJUNG JABUNG BARAT;150601;TUNGKAL ULU;562;51;61;89;85;276
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150711;BERBAK;1.195;279;168;197;191;360
