no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1;15;JAMBI;1509;150901;01/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
2;15;JAMBI;1509;150901;01/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
3;15;JAMBI;1509;150901;01/01/2024;MENGUNGSI;JIWA;1530; Rp-   ;2024
4;15;JAMBI;1509;150901;01/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
5;15;JAMBI;1509;150901;01/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
6;15;JAMBI;1509;150901;01/01/2024;MENGUNGSI;JIWA;1536; Rp-   ;2024
7;15;JAMBI;1509;150912;01/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
8;15;JAMBI;1509;150912;01/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
9;15;JAMBI;1509;150912;01/01/2024;MENGUNGSI;JIWA;412; Rp-   ;2024
10;15;JAMBI;1509;150912;01/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
11;15;JAMBI;1509;150912;01/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
12;15;JAMBI;1509;150912;01/01/2024;MENGUNGSI;JIWA;490; Rp-   ;2024
13;15;JAMBI;1509;150912;01/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
14;15;JAMBI;1509;150912;01/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
15;15;JAMBI;1509;150912;01/01/2024;MENGUNGSI;JIWA;556; Rp-   ;2024
16;15;JAMBI;1509;150912;01/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
17;15;JAMBI;1509;150912;01/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
18;15;JAMBI;1509;150912;01/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
19;15;JAMBI;1509;150906;02/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
20;15;JAMBI;1509;150906;02/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
21;15;JAMBI;1509;150906;02/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
22;15;JAMBI;1507;150711;15/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
23;15;JAMBI;1507;150711;15/01/2024;MENDERITA;JIWA;1500; Rp-   ;2024
24;15;JAMBI;1507;150711;15/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
25;15;JAMBI;1507;150704;15/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
26;15;JAMBI;1507;150704;15/01/2024;MENDERITA;JIWA;480; Rp-   ;2024
27;15;JAMBI;1507;150704;15/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
28;15;JAMBI;1507;150704;15/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
29;15;JAMBI;1507;150704;15/01/2024;MENDERITA;JIWA;33; Rp-   ;2024
30;15;JAMBI;1507;150704;15/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
31;15;JAMBI;1507;150704;15/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
32;15;JAMBI;1507;150704;15/01/2024;MENDERITA;JIWA;246; Rp-   ;2024
33;15;JAMBI;1507;150704;15/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
34;15;JAMBI;1507;150704;15/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
35;15;JAMBI;1507;150704;15/01/2024;MENDERITA;JIWA;15; Rp-   ;2024
36;15;JAMBI;1507;150704;15/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
37;15;JAMBI;1507;150704;15/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
38;15;JAMBI;1507;150704;15/01/2024;MENDERITA;JIWA;24; Rp-   ;2024
39;15;JAMBI;1507;150704;15/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
40;15;JAMBI;1507;150704;24/01/2024;MENINGGAL DUNIA;JIWA;0;Rp250,000,000;2024
41;15;JAMBI;1507;150704;24/01/2024;MENDERITA;JIWA;3;Rp250,000,000;2024
42;15;JAMBI;1507;150704;24/01/2024;MENGUNGSI;JIWA;0;Rp250,000,000;2024
43;15;JAMBI;1572;157208;10/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
44;15;JAMBI;1572;157208;10/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
45;15;JAMBI;1572;157208;10/01/2024;MENGUNGSI;JIWA;23; Rp-   ;2024
46;15;JAMBI;1572;157208;10/01/2024;MENINGGAL DUNIA;JIWA;0;Rp1,500,000,000;2024
47;15;JAMBI;1572;157208;10/01/2024;MENDERITA;JIWA;0;Rp1,500,000,000;2024
48;15;JAMBI;1572;157208;10/01/2024;MENGUNGSI;JIWA;0;Rp1,500,000,000;2024
49;15;JAMBI;1503;150808;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
50;15;JAMBI;1503;150808;12/01/2024;MENDERITA;JIWA;1062; Rp-   ;2024
51;15;JAMBI;1503;150808;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
52;15;JAMBI;1505;150501;10/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
53;15;JAMBI;1505;150501;10/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
54;15;JAMBI;1505;150501;10/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
55;15;JAMBI;1505;150502;11/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
56;15;JAMBI;1505;150502;11/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
57;15;JAMBI;1505;150502;11/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
58;15;JAMBI;1502;150216;05/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
59;15;JAMBI;1502;150216;05/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
60;15;JAMBI;1502;150216;05/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
61;15;JAMBI;1502;150202;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
62;15;JAMBI;1502;150202;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
63;15;JAMBI;1502;150202;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
64;15;JAMBI;1502;150202;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
65;15;JAMBI;1502;150202;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
66;15;JAMBI;1502;150202;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
67;15;JAMBI;1502;150202;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
68;15;JAMBI;1502;150202;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
69;15;JAMBI;1502;150202;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
70;15;JAMBI;1502;150202;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
71;15;JAMBI;1502;150202;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
72;15;JAMBI;1502;150202;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
73;15;JAMBI;1502;150202;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
74;15;JAMBI;1502;150202;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
75;15;JAMBI;1502;150202;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
76;15;JAMBI;1502;150210;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
77;15;JAMBI;1502;150210;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
78;15;JAMBI;1502;150210;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
79;15;JAMBI;1502;150210;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
80;15;JAMBI;1502;150210;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
81;15;JAMBI;1502;150210;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
82;15;JAMBI;1502;150210;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
83;15;JAMBI;1502;150210;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
84;15;JAMBI;1502;150210;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
85;15;JAMBI;1502;150212;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
86;15;JAMBI;1502;150212;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
87;15;JAMBI;1502;150212;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
88;15;JAMBI;1502;150213;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
89;15;JAMBI;1502;150213;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
90;15;JAMBI;1502;150213;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
91;15;JAMBI;1502;150213;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
92;15;JAMBI;1502;150213;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
93;15;JAMBI;1502;150213;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
94;15;JAMBI;1502;150213;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
95;15;JAMBI;1502;150213;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
96;15;JAMBI;1502;150213;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
97;15;JAMBI;1502;150213;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
98;15;JAMBI;1502;150213;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
99;15;JAMBI;1502;150213;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
100;15;JAMBI;1502;150213;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
101;15;JAMBI;1502;150213;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
102;15;JAMBI;1502;150213;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
103;15;JAMBI;1502;150224;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
104;15;JAMBI;1502;150224;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
105;15;JAMBI;1502;150224;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
106;15;JAMBI;1502;150224;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
107;15;JAMBI;1502;150224;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
108;15;JAMBI;1502;150224;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
109;15;JAMBI;1502;150203;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
110;15;JAMBI;1502;150203;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
111;15;JAMBI;1502;150203;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
112;15;JAMBI;1502;150203;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
113;15;JAMBI;1502;150203;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
114;15;JAMBI;1502;150203;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
115;15;JAMBI;1502;150203;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
116;15;JAMBI;1502;150203;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
117;15;JAMBI;1502;150203;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
118;15;JAMBI;1502;150203;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
119;15;JAMBI;1502;150203;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
120;15;JAMBI;1502;150203;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
121;15;JAMBI;1502;150220;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
122;15;JAMBI;1502;150220;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
123;15;JAMBI;1502;150220;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
124;15;JAMBI;1502;150209;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
125;15;JAMBI;1502;150209;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
126;15;JAMBI;1502;150209;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
127;15;JAMBI;1502;150209;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
128;15;JAMBI;1502;150209;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
129;15;JAMBI;1502;150209;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
130;15;JAMBI;1502;150209;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
131;15;JAMBI;1502;150209;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
132;15;JAMBI;1502;150209;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
133;15;JAMBI;1502;150209;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
134;15;JAMBI;1502;150209;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
135;15;JAMBI;1502;150209;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
136;15;JAMBI;1502;150201;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
137;15;JAMBI;1502;150201;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
138;15;JAMBI;1502;150201;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
139;15;JAMBI;1502;150216;12/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
140;15;JAMBI;1502;150216;12/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
141;15;JAMBI;1502;150216;12/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
142;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
143;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
144;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
145;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
146;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
147;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
148;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
149;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
150;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
151;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
152;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
153;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
154;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
155;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
156;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
157;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
158;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
159;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
160;15;JAMBI;1502;150206;13/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
161;15;JAMBI;1502;150206;13/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
162;15;JAMBI;1502;150206;13/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
163;15;JAMBI;1571;157106;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
164;15;JAMBI;1571;157106;31/01/2024;MENDERITA;JIWA;4; Rp-   ;2024
165;15;JAMBI;1571;157106;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
166;15;JAMBI;1571;157105;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
167;15;JAMBI;1571;157105;31/01/2024;MENDERITA;JIWA;1; Rp-   ;2024
168;15;JAMBI;1571;157105;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
169;15;JAMBI;1571;157105;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
170;15;JAMBI;1571;157105;31/01/2024;MENDERITA;JIWA;1; Rp-   ;2024
171;15;JAMBI;1571;157105;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
172;15;JAMBI;1571;157104;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
173;15;JAMBI;1571;157104;31/01/2024;MENDERITA;JIWA;2; Rp-   ;2024
174;15;JAMBI;1571;157104;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
175;15;JAMBI;1571;157104;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
176;15;JAMBI;1571;157104;31/01/2024;MENDERITA;JIWA;2; Rp-   ;2024
177;15;JAMBI;1571;157104;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
178;15;JAMBI;1571;157111;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
179;15;JAMBI;1571;157111;31/01/2024;MENDERITA;JIWA;4; Rp-   ;2024
180;15;JAMBI;1571;157111;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
181;15;JAMBI;1571;157101;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
182;15;JAMBI;1571;157101;31/01/2024;MENDERITA;JIWA;3; Rp-   ;2024
183;15;JAMBI;1571;157101;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
184;15;JAMBI;1571;157110;31/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
185;15;JAMBI;1571;157110;31/01/2024;MENDERITA;JIWA;77; Rp-   ;2024
186;15;JAMBI;1571;157110;31/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
187;15;JAMBI;1508;150803;27/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
188;15;JAMBI;1508;150803;27/01/2024;MENDERITA;JIWA;15885; Rp-   ;2024
189;15;JAMBI;1508;150803;27/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
190;15;JAMBI;1508;150810;27/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
191;15;JAMBI;1508;150810;27/01/2024;MENDERITA;JIWA;1898; Rp-   ;2024
192;15;JAMBI;1508;150810;27/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
193;15;JAMBI;1504;150402;16/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
194;15;JAMBI;1504;150402;16/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
195;15;JAMBI;1504;150402;16/01/2024;MENGUNGSI;JIWA;2; Rp-   ;2024
196;15;JAMBI;1504;150401;23/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
197;15;JAMBI;1504;150401;23/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
198;15;JAMBI;1504;150401;23/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
199;15;JAMBI;1504;150404;29/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
200;15;JAMBI;1504;150404;29/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
201;15;JAMBI;1504;150404;29/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
202;15;JAMBI;1504;150403;29/01/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
203;15;JAMBI;1504;150403;29/01/2024;MENDERITA;JIWA;0; Rp-   ;2024
204;15;JAMBI;1504;150403;29/01/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
