NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1504;BATANGHARI;KOPI ROBUSTA;1000;KG/HA;2022
2;15;JAMBI;1505;MUARO JAMBI;KOPI ROBUSTA;551;KG/HA;2022
3;15;JAMBI;1508;BUNGO;KOPI ROBUSTA;1501;KG/HA;2022
4;15;JAMBI;1509;TEBO;KOPI ROBUSTA;532;KG/HA;2022
5;15;JAMBI;1502;MERANGIN;KOPI ROBUSTA;1249;KG/HA;2022
6;15;JAMBI;1503;SAROLANGUN;KOPI ROBUSTA;1150;KG/HA;2022
7;15;JAMBI;1501;KERINCI;KOPI ROBUSTA;864;KG/HA;2022
8;15;JAMBI;1572;SUNGAI PENUH;KOPI ROBUSTA;507;KG/HA;2022
